metsNoComp	example_met	model_name	chebi_id	chebi_preferred	category
MAM00775	MAM00775c	3-hydroxyanthranilate	CHEBI:15793	3-hydroxyanthranilic acid	moderate
MAM00784	MAM00784m	3-hydroxyisobutyrate	CHEBI:37373	(S)-3-hydroxyisobutyric acid	moderate
MAM00813	MAM00813x	3-ketopristanoyl-CoA	CHEBI:57291	3-oxopristanoyl-CoA(4−)	moderate
MAM00815	MAM00815c	3-mercaptolactate	CHEBI:28580	3-mercaptolactic acid	moderate
MAM00824	MAM00824c	3-methyl-2-oxobutyrate	CHEBI:16530	3-methyl-2-oxobutanoic acid	moderate
MAM00900	MAM00900m	3-oxopropanoate	CHEBI:17960	3-oxopropanoic acid	moderate
MAM00914	MAM00914c	3-phosphonooxypyruvate	CHEBI:30933	3-phosphonooxypyruvic acid	moderate
MAM00952	MAM00952c	4-acetamidobutanoate	CHEBI:17645	4-acetamidobutanoic acid	moderate
MAM00970	MAM00970c	4-aminobutyrate	CHEBI:16865	γ-aminobutyric acid	moderate
MAM00988	MAM00988c	4-hydroxy-2-nonenal	CHEBI:58968	(E)-4-hydroxynon-2-enal	moderate
MAM00989	MAM00989m	4-hydroxy-2-oxoglutarate	CHEBI:30923	4-hydroxy-2-oxoglutaric acid	moderate
MAM00995	MAM00995c	4-hydroxybenzoate	CHEBI:30763	4-hydroxybenzoic acid	moderate
MAM01004	MAM01004c	4-hydroxyphenyllactate	CHEBI:17385	3-(4-hydroxyphenyl)lactic acid	moderate
MAM01005	MAM01005c	4-hydroxyphenylpyruvate	CHEBI:15999	4-hydroxyphenylpyruvic acid	moderate
MAM01021	MAM01021c	4-nitrophenyl-sulfate	CHEBI:35422	4-nitrophenyl hydrogen sulfate	moderate
MAM01033	MAM01033c	4-pyridoxate	CHEBI:17405	4-pyridoxic acid	moderate
MAM01065	MAM01065c	5alpha-androstane-3alpha,17beta-diol	CHEBI:36713	5α-androstane-3α,17β-diol	moderate
MAM01078	MAM01078c	5beta-cholestan-3alpha,7alpha,12alpha-triol	CHEBI:16496	5β-cholestane-3α,7α,12α-triol	moderate
MAM01092	MAM01092c	5beta-cholestane-3alpha,7alpha,12alpha,27-tetraol	CHEBI:17278	5β-cholestane-3α,7α,12α,26-tetrol	moderate
MAM01103	MAM01103c	5-hydroxyindoleacetate	CHEBI:27823	(5-hydroxyindol-3-yl)acetic acid	moderate
MAM01127	MAM01127c	5-oxoproline	CHEBI:18183	5-oxo-L-proline	moderate
MAM01141	MAM01141c	5-tetradecenoyl-CoA	CHEBI:84650	(5Z)-tetradecenoyl-CoA(4−)	moderate
MAM01168	MAM01168c	6-oxo-prostaglandin F1alpha	CHEBI:28158	6-oxoprostaglandin F1α	moderate
MAM01171	MAM01171c	6-trans-12-epi-LTB4	CHEBI:63982	Δ6-trans-12-epi-leukotriene B4	moderate
MAM01191	MAM01191c	7-hexadecenoyl-CoA	CHEBI:87698	(7Z)-hexadecenoyl-CoA(4−)	moderate
MAM01253	MAM01253c	acetoacetate	CHEBI:15344	acetoacetic acid	moderate
MAM01287	MAM01287c	ADP-mannose	CHEBI:28845	ADP-α-D-mannose	moderate
MAM01289	MAM01289c	ADP-ribose-2-phosphate	CHEBI:37463	ADP-D-ribose 2'-phosphate	moderate
MAM01312	MAM01312c	allantoate	CHEBI:30837	allantoic acid	moderate
MAM01322	MAM01322c	alpha-D-galactose-1-phosphate	CHEBI:17973	α-D-galactose 1-phosphate	moderate
MAM01339	MAM01339c	androsterone-glucuronide	CHEBI:28832	androsterone 3-glucosiduronic acid	moderate
MAM01342	MAM01342c	anthranilate	CHEBI:30754	anthranilic acid	moderate
MAM01366	MAM01366c	argininosuccinate	CHEBI:15682	(Nω-L-arginino)succinic acid	moderate
MAM01380	MAM01380c	benzoate	CHEBI:30746	benzoic acid	moderate
MAM01410	MAM01410c	butyrate	CHEBI:30772	butyric acid	moderate
MAM01412	MAM01412c	butyryl-CoA	CHEBI:57371	butyryl-CoA(4−)	moderate
MAM01436	MAM01436c	chitin(n-1)	CHEBI:17029	chitin	moderate
MAM01442	MAM01442c	chloride	CHEBI:29311	chlorine(•)	moderate
MAM01499	MAM01499l	cholesterol-ester-lin	CHEBI:41509	cholesteryl linoleate	moderate
MAM01503	MAM01503l	cholesterol-ester-ol	CHEBI:46898	cholesteryl oleate	moderate
MAM01504	MAM01504l	cholesterol-ester-palm	CHEBI:3663	cholesteryl palmitate	moderate
MAM01580	MAM01580c	cis-aconitate	CHEBI:32805	cis-aconitic acid	moderate
MAM01581	MAM01581c	cis-beta-D-glucosyl-2-hydroxycinnamate	CHEBI:62223	2-(β-D-glucosyloxy)-cis-cinnamate	moderate
MAM01582	MAM01582c	cis-cetoleic acid	CHEBI:32428	cetoleic acid	moderate
MAM01583	MAM01583c	cis-erucic acid	CHEBI:28792	erucic acid	moderate
MAM01629	MAM01629c	cystine	CHEBI:16283	L-cystine	moderate
MAM01636	MAM01636c	D-4-phosphopantothenate	CHEBI:15905	(R)-4'-phosphopantothenic acid	moderate
MAM01641	MAM01641c	D-aspartate	CHEBI:17364	D-aspartic acid	moderate
MAM01663	MAM01663x	delta1-piperideine-2-carboxylate	CHEBI:30912	1-piperideine-2-carboxylic acid	moderate
MAM01681	MAM01681c	D-glucarate	CHEBI:16002	D-glucaric acid	moderate
MAM01684	MAM01684c	D-glucuronate 1-phosphate	CHEBI:35145	D-glucuronic acid 1-phosphate	moderate
MAM01702	MAM01702c	dihydrolipoate	CHEBI:18047	dihydrolipoic acid	moderate
MAM01734	MAM01734c	dolichyl-phosphate-D-mannose	CHEBI:15809	dolichyl D-mannosyl phosphate	moderate
MAM01746	MAM01746c	D-tagatose-6-phosphate	CHEBI:4251	D-tagatofuranose 6-phosphate	moderate
MAM01749	MAM01749c	dTDP-6-deoxy-L-mannose	CHEBI:35452	dTDP-L-rhamnose	moderate
MAM01751	MAM01751c	dTDP-glucose	CHEBI:15700	dTDP-α-D-glucose	moderate
MAM01771	MAM01771c	eicosanoate	CHEBI:28822	icosanoic acid	moderate
MAM01795	MAM01795c	estrone-glucuronide	CHEBI:28919	estrone 3-O-(β-D-glucuronide)	moderate
MAM01835	MAM01835c	formylanthranilate	CHEBI:36575	N-formylanthranilic acid	moderate
MAM01841	MAM01841c	fructose-1,6-bisphosphate	CHEBI:16905	keto-D-fructose 1,6-bisphosphate	moderate
MAM01842	MAM01842c	fructose-1-phosphate	CHEBI:18105	keto-D-fructose 1-phosphate	moderate
MAM01843	MAM01843c	fructose-2,6-bisphosphate	CHEBI:28602	β-D-fructofuranose 2,6-bisphosphate	moderate
MAM01862	MAM01862c	fumarate	CHEBI:18012	fumaric acid	moderate
MAM01863	MAM01863c	fumarylacetoacetate	CHEBI:30907	4-fumarylacetoacetic acid	moderate
MAM01892	MAM01892e	15-Keto-Prostaglandin F2A	CHEBI:133409	15-oxoprostaglandin F2α(1−)	moderate
MAM01910	MAM01910c	galactose	CHEBI:28061	α-D-galactose	moderate
MAM01926	MAM01926e	gamma-glutamyl-beta-cyanoalanine	CHEBI:10565	γ-glutamyl-β-cyanoalanine	moderate
MAM01927	MAM01927c	gamma-glutamyl-cysteine	CHEBI:17515	L-γ-glutamyl-L-cysteine	moderate
MAM01951	MAM01951c	GDP-mannose	CHEBI:15820	GDP-α-D-mannose	moderate
MAM01953	MAM01953c	geranyl-PP	CHEBI:17211	geranyl diphosphate	moderate
MAM01963	MAM01963c	glucosamine-6-phosphate	CHEBI:15873	α-D-glucosamine 6-phosphate	moderate
MAM01967	MAM01967c	glucose-1-phosphate	CHEBI:16077	D-glucopyranose 1-phosphate	moderate
MAM01968	MAM01968c	glucose-6-phosphate	CHEBI:4170	D-glucopyranose 6-phosphate	moderate
MAM01973	MAM01973c	glucuronate	CHEBI:42717	α-D-glucuronic acid	moderate
MAM01976	MAM01976m	glutamyl-5-phosphate	CHEBI:17798	L-γ-glutamyl phosphate	moderate
MAM01998	MAM01998c	glycolate	CHEBI:17497	glycolic acid	moderate
MAM02080	MAM02080l	heparan sulfate, free chain	CHEBI:28815	heparan sulfate	moderate
MAM02116	MAM02116r	hexadecenal	CHEBI:17585	trans-hexadec-2-enal	moderate
MAM02135	MAM02135c	homogentisate	CHEBI:44747	homogentisic acid	moderate
MAM02137	MAM02137c	homovanillate	CHEBI:545959	homovanillic acid	moderate
MAM02141	MAM02141l	hyaluronate	CHEBI:16336	hyaluronic acid	moderate
MAM02154	MAM02154c	hydroxypyruvate	CHEBI:30841	3-hydroxypyruvic acid	moderate
MAM02169	MAM02169c	indoleacetate	CHEBI:16411	indole-3-acetic acid	moderate
MAM02172	MAM02172c	inositol-1,3-bisphosphate	CHEBI:18225	myo-inositol 1,3-bisphosphate	moderate
MAM02173	MAM02173c	inositol-1-phosphate	CHEBI:18297	1D-myo-inositol 1-phosphate	moderate
MAM02183	MAM02183c	isocitrate	CHEBI:30887	isocitric acid	moderate
MAM02187	MAM02187c	isopentenyl-pPP	CHEBI:16584	isopentenyl diphosphate	moderate
MAM02191	MAM02191c	itaconate	CHEBI:30838	itaconic acid	moderate
MAM02322	MAM02322c	L-2-aminoadipate	CHEBI:37024	2-aminoadipic acid	moderate
MAM02325	MAM02325c	L-3-amino-isobutanoate	CHEBI:33094	(S)-3-aminoisobutyric acid	moderate
MAM02348	MAM02348c	L-carnitine	CHEBI:11060	(S)-carnitine	moderate
MAM02372	MAM02372c	L-fucose-1-phosphate	CHEBI:28319	L-fucopyranose 1-phosphate	moderate
MAM02378	MAM02378c	L-gulonate	CHEBI:16154	L-gulonic acid	moderate
MAM02381	MAM02381c	L-hydroxylysine	CHEBI:18040	erythro-5-hydroxy-L-lysine	moderate
MAM02384	MAM02384c	L-iduronic acid	CHEBI:47903	L-idopyranuronic acid	moderate
MAM02386	MAM02386c	limonene	CHEBI:15383	(4S)-limonene	moderate
MAM02387	MAM02387c	linoleate	CHEBI:17351	linoleic acid	moderate
MAM02389	MAM02389c	linolenate	CHEBI:27432	α-linolenic acid	moderate
MAM02402	MAM02402c	lithocholate	CHEBI:16325	lithocholic acid	moderate
MAM02413	MAM02413x	L-pipecolate	CHEBI:30913	L-pipecolic acid	moderate
MAM02417	MAM02417c	L-sorbose	CHEBI:10295	α-L-sorbopyranose	moderate
MAM02440	MAM02440c	malonate	CHEBI:30794	malonic acid	moderate
MAM02441	MAM02441c	malonic-dialdehyde	CHEBI:566274	malonaldehyde	moderate
MAM02453	MAM02453c	mannose	CHEBI:4208	D-mannopyranose	moderate
MAM02465	MAM02465m	mesaconate	CHEBI:16600	mesaconic acid	moderate
MAM02479	MAM02479c	methylmalonate	CHEBI:30860	methylmalonic acid	moderate
MAM02487	MAM02487c	mitothioredoxin	CHEBI:15967	thioredoxin dithiol	moderate
MAM02523	MAM02523c	N-acetyl-D-glucosaminylphosphatidylinositol	CHEBI:12194	6-(N-acetyl-α-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	moderate
MAM02532	MAM02532c	N-acetyl-L-aspartate	CHEBI:21547	N-acetyl-L-aspartic acid	moderate
MAM02537	MAM02537m	N-acetyl-L-glutamate-5-phosphate	CHEBI:16878	N-acetyl-L-γ-glutamyl phosphate	moderate
MAM02539	MAM02539c	N-acetylmannosamine-6-phosphate	CHEBI:28273	aldehydo-N-acetyl-D-mannosamine 6-phosphate	moderate
MAM02541	MAM02541c	N-acetylmuramate	CHEBI:21615	N-acetyl-D-muramic acid	moderate
MAM02543	MAM02543c	N-acetylneuraminate	CHEBI:45744	N-acetyl-β-neuraminic acid	moderate
MAM02544	MAM02544c	N-acetylneuraminate-9-phosphate	CHEBI:27438	N-acetylneuraminic acid 9-phosphate	moderate
MAM02586	MAM02586c	nicotinate	CHEBI:15940	nicotinic acid	moderate
MAM02628	MAM02628c	N-trimethyl-2-aminoethylphosphonate	CHEBI:7347	2-trimethylaminoethylphosphonic acid	moderate
MAM02675	MAM02675c	palmitolate	CHEBI:28716	palmitoleic acid	moderate
MAM02680	MAM02680c	pantothenate	CHEBI:7916	pantothenic acid	moderate
MAM02699	MAM02699c	peptide-2-(3-carboxy-3-aminopropyl)-L-histidine	CHEBI:17144	2-(3-amino-3-carboxypropyl)-L-histidine	moderate
MAM02703	MAM02703c	peptide-L-methionine-(S)-S-oxide	CHEBI:15989	L-methionine S-oxide residue	moderate
MAM02704	MAM02704c	peptide-L-methionine	CHEBI:16044	L-methionine residue	moderate
MAM02710	MAM02710c	peptidylproline-(omega=180)	CHEBI:15701	peptidylproline (ω=180)	moderate
MAM02720	MAM02720c	phenylacetate	CHEBI:30745	phenylacetic acid	moderate
MAM02735	MAM02735c	phosphatidylinositol-3,5-bisphosphate	CHEBI:16851	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate	moderate
MAM02746	MAM02746c	(3R)-phytanic acid	CHEBI:16285	phytanic acid	moderate
MAM02747	MAM02747c	(3R)-phytanoyl-CoA	CHEBI:15538	phytanoyl-CoA	moderate
MAM02764	MAM02764c	presqualene-PP	CHEBI:15442	presqualene diphosphate	moderate
MAM02766	MAM02766x	(2S)-pristanic acid	CHEBI:51340	pristanic acid	moderate
MAM02819	MAM02819c	pyruvate	CHEBI:32816	pyruvic acid	moderate
MAM02822	MAM02822c	quinolinate	CHEBI:16675	quinolinic acid	moderate
MAM02823	MAM02823c	quinonoid dihydrobiopterin	CHEBI:64277	7,8-dihydrobiopterin	moderate
MAM02836	MAM02836c	retinoyl-glucuronide	CHEBI:28870	1-O-all-trans-retinoyl-β-glucuronic acid	moderate
MAM02838	MAM02838c	retinyl-ester	CHEBI:63410	all-trans-retinyl ester	moderate
MAM02839	MAM02839c	reverse triiodthyronine	CHEBI:28774	3,3',5'-triiodothyronine	moderate
MAM02843	MAM02843c	ribose	CHEBI:16988	D-ribose	moderate
MAM02844	MAM02844c	ribose-1-phosphate	CHEBI:35425	D-ribose 1-phosphate	moderate
MAM02845	MAM02845c	ribose-5-phosphate	CHEBI:17797	aldehydo-D-ribose 5-phosphate	moderate
MAM02885	MAM02885c	selenate	CHEBI:18170	selenic acid	moderate
MAM02913	MAM02913c	sn-glycerol-3-PE	CHEBI:16929	sn-glycero-3-phosphoethanolamine	moderate
MAM02943	MAM02943c	succinate	CHEBI:15741	succinic acid	moderate
MAM02952	MAM02952c	sulfotaurolithocholate	CHEBI:17864	taurolithocholic acid sulfate	moderate
MAM03005	MAM03005c	trans,cis,cis,cis-2,11,14,17-eicosatetraenoyl-CoA	CHEBI:76456	(2E,11Z,14Z,17Z)-icosatetraenoyl-CoA(4−)	moderate
MAM03019	MAM03019m	trans,cis-hexadeca-2,7-dienoyl-CoA	CHEBI:87717	(2E,7Z)-hexadecadienoyl-CoA(4−)	moderate
MAM03020	MAM03020m	trans,cis-hexadeca-2,9-dienoyl-CoA	CHEBI:77549	(2E,9Z)-hexadecadienoyl-CoA(4−)	moderate
MAM03024	MAM03024m	trans,cis-octadeca-2,11-dienoyl-CoA	CHEBI:76558	(2E,11Z)-octadecadienoyl-CoA(4−)	moderate
MAM03025	MAM03025m	trans,cis-octadeca-2,9-dienoyl-CoA	CHEBI:77553	(2E,9Z)-octadecadienoyl-CoA(4−)	moderate
MAM03027	MAM03027x	trans-2,3-dehydropristanoyl-CoA	CHEBI:77293	(E)-2,3-didehydropristanoyl-CoA(4−)	moderate
MAM03028	MAM03028x	trans-2-all-cis-6,9,12,15,18-tetracosahexaenoyl-CoA	CHEBI:76364	(2E,6Z,9Z,12Z,15Z,18Z)-tetracosahexaenoyl-CoA(4−)	moderate
MAM03029	MAM03029c	trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA	CHEBI:76412	(2E,8Z,11Z,14Z)-icosatetraenoyl-CoA(4−)	moderate
MAM03033	MAM03033m	trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA	CHEBI:85090	(3E,5Z,8Z,11Z,14Z)-icosapentaenoyl-CoA(4−)	moderate
MAM03035	MAM03035m	trans-3-decenoyl-CoA	CHEBI:84793	trans-dec-3-enoyl-CoA(4−)	moderate
MAM03041	MAM03041c	trichloroacetate	CHEBI:30956	trichloroacetic acid	moderate
MAM03056	MAM03056c	trioxilin B3	CHEBI:78099	trioxilin B3(1−)	moderate
MAM03109	MAM03109c	UDP-glucuronate	CHEBI:17200	UDP-α-D-glucuronic acid	moderate
MAM03122	MAM03122c	ureidoglycolate	CHEBI:15412	(−)-ureidoglycolic acid	moderate
MAM03157	MAM03157c	zinc	CHEBI:29105	zinc(2+)	moderate
MAM03242	MAM03242m	3-Hydroxyisovaleryl Coenzyme A	CHEBI:62555	3-hydroxyisovaleryl-CoA(4−)	moderate
MAM03362	MAM03362x	3(S)-Phytanoyl Coenzyme A	CHEBI:15538	phytanoyl-CoA	moderate
MAM03402	MAM03402r	acetaminophen/paracetamol	CHEBI:46195	paracetamol	moderate
MAM03491	MAM03491x	Dodecanedioyl Coenzyme A	CHEBI:76315	dodecanedioyl-CoA(5−)	moderate
MAM03552	MAM03552m	2,6-Dimethyl Heptanoyl Coenzyme A	CHEBI:84847	2,6-dimethylheptanoyl-CoA(4−)	moderate
MAM03560	MAM03560r	Docosanedioicacid	CHEBI:76299	docosanedioate(2−)	moderate
MAM03562	MAM03562e	Dodecanedioic Acid	CHEBI:76273	dodecanedioate(2−)	moderate
MAM03585	MAM03585e	D-Galactosamine	CHEBI:18232	D-galactosamine 6-phosphate	moderate
MAM03614	MAM03614e	Glutarate	CHEBI:17859	glutaric acid	moderate
MAM03654	MAM03654r	Hexadecanediocacid	CHEBI:76276	hexadecanedioate(2−)	moderate
MAM03655	MAM03655c	Hexadecanedioyl Coenzyme A	CHEBI:77085	hexadecanedioyl-CoA(5−)	moderate
MAM03814	MAM03814c	1-Linoleoylglycerophosphocholine (Delta 9,12)	CHEBI:28733	1-linoleoyl-sn-glycero-3-phosphocholine	moderate
MAM03856	MAM03856c	1-Linoleoylglycerophosphoethanolamine (Delta 9,12)	CHEBI:83058	1-linoleoyl-sn-glycero-3-phosphoethanolamine	moderate
MAM03884	MAM03884c	(3S)-phytanic acid	CHEBI:16285	phytanic acid	moderate
MAM03887	MAM03887c	Pristanoyl Coenzyme A	CHEBI:64039	(2S)-pristanoyl-CoA	moderate
MAM03977	MAM03977c	C14:0-Ethanolamide, Tetradecanoyl Ethanolamide	CHEBI:85262	N-(tetradecanoyl)ethanolamine	moderate
MAM10021	MAM10021c	alpha-muricholic acid	CHEBI:134116	α-muricholate	moderate
MAM10022	MAM10022c	beta-muricholic acid	CHEBI:134119	β-muricholate	moderate
MAM10024	MAM10024c	tauro-alpha-muricholic acid	CHEBI:172400	tauro-α-muricholate(1−)	moderate
MAM10025	MAM10025c	omega-muricholic acid	CHEBI:81299	ω-muricholic acid	moderate
MAM10027	MAM10027c	glycohyocholic acid	CHEBI:133177	glycohyocholate	moderate
MAM10031	MAM10031c	tauro-omega-muricholic acid	CHEBI:139137	tauro-ω-muricholic acid	moderate
MAM10035	MAM10035c	alpha-muricholoyl-CoA	CHEBI:138378	β-muricholoyl-CoA	moderate
MAM10036	MAM10036c	beta-muricholoyl-CoA	CHEBI:138378	β-muricholoyl-CoA	moderate
MAM10037	MAM10037c	omega-muricholoyl-CoA	CHEBI:138378	β-muricholoyl-CoA	moderate
MAM20063	MAM20063n	alpha-NAD(+)	CHEBI:77017	α-NAD(1−)	moderate
MAM20083	MAM20083x	(2R)-pristanal	CHEBI:49189	pristanal	moderate
MAM00233	MAM00233c	1,2-diacylglycerol-bile-PC pool	CHEBI:17815	1,2-diacyl-sn-glycerol	pool
MAM00234	MAM00234e	1,2-diacylglycerol-chylomicron pool	CHEBI:17815	1,2-diacyl-sn-glycerol	pool
MAM00235	MAM00235c	1,2-diacylglycerol-LD-PC pool	CHEBI:17815	1,2-diacyl-sn-glycerol	pool
MAM00236	MAM00236c	1,2-diacylglycerol-LD-PE pool	CHEBI:17815	1,2-diacyl-sn-glycerol	pool
MAM00237	MAM00237c	1,2-diacylglycerol-LD-PI pool	CHEBI:17815	1,2-diacyl-sn-glycerol	pool
MAM00238	MAM00238c	1,2-diacylglycerol-LD-PS pool	CHEBI:17815	1,2-diacyl-sn-glycerol	pool
MAM00239	MAM00239c	1,2-diacylglycerol-LD-SM pool	CHEBI:17815	1,2-diacyl-sn-glycerol	pool
MAM00240	MAM00240c	1,2-diacylglycerol-LD-TAG pool	CHEBI:17815	1,2-diacyl-sn-glycerol	pool
MAM00241	MAM00241e	1,2-diacylglycerol-VLDL pool	CHEBI:17815	1,2-diacyl-sn-glycerol	pool
MAM00473	MAM00473c	1-acylglycerol-3P-bile-PC pool	CHEBI:16975	1-acyl-sn-glycerol 3-phosphate	pool
MAM00485	MAM00485c	1-acylglycerol-3P-LD-PC pool (liver tissue)	CHEBI:16975	1-acyl-sn-glycerol 3-phosphate	pool
MAM00486	MAM00486c	1-acylglycerol-3P-LD-PE pool (liver tissue)	CHEBI:16975	1-acyl-sn-glycerol 3-phosphate	pool
MAM00487	MAM00487c	1-acylglycerol-3P-LD-PI pool (liver tissue)	CHEBI:16975	1-acyl-sn-glycerol 3-phosphate	pool
MAM00488	MAM00488c	1-acylglycerol-3P-LD-PS pool (liver tissue)	CHEBI:16975	1-acyl-sn-glycerol 3-phosphate	pool
MAM00489	MAM00489c	1-acylglycerol-3P-LD-SM pool (liver tissue)	CHEBI:16975	1-acyl-sn-glycerol 3-phosphate	pool
MAM00490	MAM00490c	1-acylglycerol-3P-LD-TG1 pool (liver tissue)	CHEBI:16975	1-acyl-sn-glycerol 3-phosphate	pool
MAM00503	MAM00503c	1-acylglycerol-chylomicron pool	CHEBI:17408	monoacylglycerol	pool
MAM00504	MAM00504c	1-acylglycerol-LD-PC pool	CHEBI:17408	monoacylglycerol	pool
MAM00505	MAM00505c	1-acylglycerol-LD-PE pool	CHEBI:17408	monoacylglycerol	pool
MAM00506	MAM00506c	1-acylglycerol-LD-PI pool	CHEBI:17408	monoacylglycerol	pool
MAM00507	MAM00507c	1-acylglycerol-LD-PS pool	CHEBI:17408	monoacylglycerol	pool
MAM00508	MAM00508c	1-acylglycerol-LD-SM pool	CHEBI:17408	monoacylglycerol	pool
MAM00509	MAM00509c	1-acylglycerol-LD-TG1 pool	CHEBI:17408	monoacylglycerol	pool
MAM00510	MAM00510c	1-acylglycerol-VLDL pool	CHEBI:17408	monoacylglycerol	pool
MAM00656	MAM00656c	2-lysolecithin pool	CHEBI:17504	1-O-acyl-sn-glycero-3-phosphocholine(1+)	pool
MAM01430	MAM01430c	ceramide pool	CHEBI:52639	N-acylsphingosine	pool
MAM01451	MAM01451c	cholesterol-ester pool	CHEBI:17002	cholesteryl ester	pool
MAM01589	MAM01589c	CL pool	CHEBI:28494	cardiolipin	pool
MAM01699	MAM01699c	dihydroceramide pool	CHEBI:31488	N-acylsphinganine	pool
MAM01808	MAM01808c	fatty acid-LD-PC pool (liver tissue)	CHEBI:35366	fatty acid	pool
MAM01809	MAM01809c	fatty acid-LD-PE pool (liver tissue)	CHEBI:35366	fatty acid	pool
MAM01810	MAM01810c	fatty acid-LD-PI pool (liver tissue)	CHEBI:35366	fatty acid	pool
MAM01811	MAM01811c	fatty acid-LD-PS pool (liver tissue)	CHEBI:35366	fatty acid	pool
MAM01812	MAM01812c	fatty acid-LD-SM pool (liver tissue)	CHEBI:35366	fatty acid	pool
MAM01813	MAM01813c	fatty acid-LD-TG1 pool (liver tissue)	CHEBI:35366	fatty acid	pool
MAM01814	MAM01814c	fatty acid-LD-TG2 pool (liver tissue)	CHEBI:35366	fatty acid	pool
MAM01815	MAM01815c	fatty acid-LD-TG3 pool (liver tissue)	CHEBI:35366	fatty acid	pool
MAM01819	MAM01819e	fatty acid-uptake pool	CHEBI:35366	fatty acid	pool
MAM01820	MAM01820e	fatty acid-VLDL pool	CHEBI:35366	fatty acid	pool
MAM01972	MAM01972c	glucosylceramide pool	CHEBI:18368	D-glucosyl-N-acylsphingosine	pool
MAM02328	MAM02328c	LacCer pool	CHEBI:17950	β-D-galactosyl-(1→4)-β-D-glucosyl-(1↔1)-N-acylsphingosine	pool
MAM02684	MAM02684c	PC-LD pool	CHEBI:16110	1,2-diacyl-sn-glycero-3-phosphocholine(1+)	pool
MAM02685	MAM02685c	PE-LD pool	CHEBI:16038	phosphatidylethanolamine	pool
MAM02686	MAM02686c	PE-NME-LD pool	CHEBI:15958	phosphatidyl-N-methylethanolamine	pool
MAM02726	MAM02726c	phosphatidate-bile-PC pool	CHEBI:16337	phosphatidic acid	pool
MAM02727	MAM02727m	phosphatidate-CL pool	CHEBI:16337	phosphatidic acid	pool
MAM02728	MAM02728c	phosphatidate-LD-PC pool	CHEBI:16337	phosphatidic acid	pool
MAM02729	MAM02729c	phosphatidate-LD-PE pool	CHEBI:16337	phosphatidic acid	pool
MAM02730	MAM02730c	phosphatidate-LD-PI pool	CHEBI:16337	phosphatidic acid	pool
MAM02731	MAM02731c	phosphatidate-LD-PS pool	CHEBI:16337	phosphatidic acid	pool
MAM02732	MAM02732c	phosphatidate-LD-SM pool	CHEBI:16337	phosphatidic acid	pool
MAM02733	MAM02733c	phosphatidate-LD-TAG pool	CHEBI:16337	phosphatidic acid	pool
MAM02740	MAM02740e	phospholipids extracellular pool	CHEBI:16247	phospholipid	pool
MAM02748	MAM02748c	phytoceramide pool	CHEBI:31998	N-acylphytosphingosine	pool
MAM02750	MAM02750c	PI pool	CHEBI:16749	1-phosphatidyl-1D-myo-inositol	pool
MAM02808	MAM02808c	PS-LD pool	CHEBI:18303	phosphatidyl-L-serine	pool
MAM02908	MAM02908c	SM pool	CHEBI:17636	sphingomyelin d18:1	pool
MAM02956	MAM02956e	TAG-chylomicron pool	CHEBI:17855	triglyceride	pool
MAM02958	MAM02958c	TAG-LD pool	CHEBI:17855	triglyceride	pool
MAM02959	MAM02959e	TAG-VLDL pool	CHEBI:17855	triglyceride	pool
MAM10004	MAM10004r	cholesterol-ester plasma pool	CHEBI:17002	cholesteryl ester	pool
MAM10005	MAM10005e	fatty acid pool	CHEBI:35366	fatty acid	pool
MAM10006	MAM10006e	1-acylglycerol-3P pool	CHEBI:16975	1-acyl-sn-glycerol 3-phosphate	pool
MAM10007	MAM10007c	acyl-CoA pool	CHEBI:58342	acyl-CoA(4−)	pool
MAM00522	MAM00522c	1D-myo-inositol-1,3,4,5-tetrakisphosphate	CHEBI:16783	1D-myo-inositol 1,3,4,5-tetrakisphosphate	stylistic
MAM00524	MAM00524c	1D-myo-inositol-1,3,4-trisphosphate	CHEBI:18228	1D-myo-inositol 1,3,4-trisphosphate	stylistic
MAM00525	MAM00525c	1D-myo-inositol-1,4,5,6-tetrakisphosphate	CHEBI:16067	1D-myo-inositol 1,4,5,6-tetrakisphosphate	stylistic
MAM00526	MAM00526c	1D-myo-inositol-1,4-bisphosphate	CHEBI:17816	1D-myo-inositol 1,4-bisphosphate	stylistic
MAM00527	MAM00527c	1D-myo-inositol-3,4,5,6-tetrakisphosphate	CHEBI:15844	1D-myo-inositol 3,4,5,6-tetrakisphosphate	stylistic
MAM00528	MAM00528c	1D-myo-inositol-3,4-bisphosphate	CHEBI:28858	1D-myo-inositol 3,4-bisphosphate	stylistic
MAM00529	MAM00529c	1D-myo-inositol-3-phosphate	CHEBI:18169	1D-myo-inositol 3-phosphate	stylistic
MAM00530	MAM00530c	1D-myo-inositol-4-phosphate	CHEBI:18384	1D-myo-inositol 4-phosphate	stylistic
MAM00551	MAM00551c	1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate	CHEBI:16152	1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate	stylistic
MAM00552	MAM00552c	1-phosphatidyl-1D-myo-inositol-3-phosphate	CHEBI:17283	1-phosphatidyl-1D-myo-inositol 3-phosphate	stylistic
