	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
				ADP[c]			NH4+[c]										
				H+[c]													
	96	Conversion of glycine to pyruvate		glycine[c]	1	1	pyruvate[c]	1	1								
				H2O[c]	1	1	THF[c]	1	1								
				5,10-methylene-THF[c]	1	1	NH4+[c]	1	1								
	97	Histidine degradation		histidine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	98	Conversion of histidine to glutamate		histidine[c]	1	1	glutamate[c]	1	1								
				H2O[c]	2	2	NH4+[c]	1	1								
				THF[c]	1	1	5-formiminotetrahydrofolate[c]	1	1								
	99	Conversion of histidine to histamine		histidine[c]	1	1	histamine[c]	1	1								
				H+[c]	1	1	CO2[c]	1	1								
	100	Homocysteine synthesis (need methionine)		methionine[c]	1	1	homocysteine[c]	1	1								
				glycine[c]	1	1	sarcosine[c]	1	1								
				ATP[c]	2	2	ADP[c]	1	1								
				H2O[c]	2	2	AMP[c]	1	1								
							Pi[c]	1	1								
							PPi[c]	1	1								
							H+[c]	2	2								
	101	Homocysteine degradation		homocysteine[c]	1	1	cysteine[c]	1	1								
				serine[c]	1	1	propanoyl-CoA[c]	1	1								
				CoA[c]	1	1	NH4+[c]	1	1								
				NAD+[c]	1	1	CO2[c]	1	1								
							NADH[c]	1	1								
	102	Isoleucine degradation		isoleucine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	103	Leucine degradation		leucine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	104	Conversion of leucine to acetyl-coA		leucine[m]	1	1	acetyl-CoA[m]	1	1								
				AKG[m]	1	1	acetoacetate[m]	1	1								
				CoA[m]	1	1	glutamate[m]	1	1								
				NAD+[m]	1	1	ADP[m]	1	1								
				FAD[m]	1	1	H+[m]	1	1								
				ATP[m]	1	1	Pi[m]	1	1								
				H2O[m]	1	1	CO2[m]	1	1								
				HCO3-[m]	1	1	NADH[m]	1	1								
					1	1	FADH2[m]	1	1								
	105	Lysine degradation		lysine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	106	Conversion of lysine to L-Saccharopine		lysine[m]	1	1	saccharopine[m]	1	1								
				AKG[m]	1	1	H2O[m]	1	1								
				H+[m]	1	1	NADP+[m]	1	1								
				NADPH[m]	1	1											
	107	Conversion of lysine to L-2-Aminoadipate		lysine[e]	1	1	L-2-aminoadipate[c]	1	1								
				H2O[e]	2	2	H2O2[e]	2	2								
				O2[e]	2	2	NH4+[e]	1	1								
				NADH[e]	1	1	H+[c]	1	1								
				NAD+[c]	1	1	NAD+[e]	1	1								
				H+[e]	0	1	NADH[c]	1	1								
	108	Methionine degradation		methionine[c]	1	1	cysteine[c]	1	1								
				serine[c]	1	2	propanoyl-CoA[c]	1	1								
				ATP[c]	2	2	ATP[m]	1	1								
				ADP[m]	1	1	ADP[c]	1	1								
				Pi[m]	1	1	AMP[c]	1	1								
				FAD[m]	1	6	Pi[c]	1	1								
				CoA[c]	1	1	PPi[c]	1	1								
				NAD+[c]	2	2	FADH2[m]	1	6								
				NAD+[m]	1	1	H2O[c]	1	1								
				H2O[m]	1	1	NH4+[c]	1	2								
							CO2[c]	3	5								
							NADH[c]	2	2								
							NADH[m]	1	1								
							H+[m]	1	1								
							H+[c]	2	2								
	109	S-adenosyl-L-methionine synthesis		methionine[c]	1	1	SAM[c]	1	1								
				ATP[c]	1	1	Pi[c]	1	1								
				H2O[c]	1	1	PPi[c]	1	1								
	110	Ornithine degradation		ornithine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	111	Synthesis of ornithine from glutamine		glutamine[m]	2	2	ornithine[m]	1	1								
				ATP[m]	1	1	ADP[m]	1	1								
				H2O[m]	2	2	NADP+[m]	1	1								
				NADPH[m]	1	1	AKG[m]	1	1								
				H+[m]	1	1	NH4+[m]	2	2								
							Pi[m]	1	1								
	112	Synthesis of spermidine from ornithine		ornithine[c]	1	1	spermidine[c]	1	1								
				methionine[c]	1	1	5-methylthioadenosine[c]	1	1								
				H+[c]	1	1	CO2[c]	2	2								
				ATP[c]	1	1	Pi[c]	1	1								
				H2O[c]	1	1	PPi[c]	1	1								
	113	Serine synthesis		glucose[c]	1	1	serine[c]	2	2								
				glutamate[c]	2	2	AKG[c]	2	2								
				NAD+[c]	4	4	NADH[c]	4	4								
				H2O[c]	2	2	H+[c]	6	6								
	114	Serine degradation		serine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	115	Phenylalanine degradation		phenylalanine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	116	Phenylalanine to phenylacetaldehyde		phenylalanine[c]	1	1	phenylacetaldehyde[c]	1	1								
				H+[c]	1	1	CO2[c]	1	1								
				H2O[c]	1	1	H2O2[c]	1	1								
				O2[c]	1	1	NH4+[c]	1	1								
	117	Phenylalanine to phenylacetyl-L-glutaminate		phenylalanine[c]	1	1	phenylacetylglutamine[c]	1	1								
				H2O[c]	2	2	H2O2[c]	1	1								
				O2[c]	1	1	NH4+[c]	1	1								
				NAD+[c]	1	1	H+[c]	1	1								
				ATP[c]	1	1	NADH[c]	1	1								
				glutamine[c]	1	1	AMP[c]	1	1								
							CO2[c]	1	1								
							PPi[c]	1	1								
	118	Phenylalanine to tyrosine		phenylalanine[c]	1	1	tyrosine[c]	1	1								
				O2[c]	1	1	4alpha-hydroxytetrahydrobiopterin[c]	1	1								
				tetrahydrobiopterin[c]	1	1											
	119	Proline synthesis		glucose[c]	1	1	proline[m]	1	1								
				ATP[m]	1	2	NADH[c]	2	2								
				NAD+[c]	2	2	ATP[c]	2	2								
				ADP[c]	2	2	CO2[m]	2	2								
				Pi[c]	2	2	ADP[m]	1	2								
				HCO3-[m]	1	1	Pi[m]	1	2								
				NH4+[m]	1	1	H2O[m]	2	2								
				NADPH[m]	1	1	H2O[c]	2	2								
							NADP+[m]	1	1								
	120	Proline degradation		proline[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	121	Synthesis of proline from glutamine		glutamine[m]	1	1	proline[m]	1	1								
				ATP[m]	1	1	ADP[m]	1	1								
				H+[m]	2	2	NAD+[m]	1	1								
				NADH[m]	1	1	NADP+[m]	1	1								
				NADPH[m]	1	1	NH4+[m]	1	1								
							Pi[m]	1	1								
	122	Threonine degradation		threonine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	123	Tryptophan degradation		tryptophan[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	124	Synthesis of anthranilate from tryptophan		tryptophan[c]	1	1	anthranilate[c]	1	1								
				O2[c]	1	1	formate[c]	1	1								
				H2O[c]	2	2	H+[c]	2	2								
							alanine[c]	1	1								
	125	Synthesis of kynate from tryptophan		tryptophan[c]	1	1	4-hydroxy-2-quinolinecarboxylic acid[c]	1	1								
				O2[c]	1	1	formate[c]	1	1								
				AKG[c]	1	1	glutamate[c]	1	1								
							H+[c]	1	1								
	126	Synthesis of L-kynurenine from tryptophan		tryptophan[c]	1	1	kynurenine[c]	1	1								
				O2[c]	1	1	H+[c]	1	1								
				H2O[c]	1	1	formate[c]	1	1								
	127	Synthesis of N-formylanthranilate from tryptophan		tryptophan[c]	1	1	formylanthranilate[c]	1	1								
				O2[c]	1	1	H+[c]	1	1								
				H2O[c]	1	1	alanine[c]	1	1								
	128	Synthesis of quinolinate from tryptophan		tryptophan[c]	1	1	quinolinate[c]	1	1								
				NADPH[c]	1	1	alanine[c]	1	1								
				O2[c]	3	3	formate[c]	1	1								
							NADP+[c]	1	1								
							H+[c]	2	2								
	129	Synthesis of serotonin from tryptophan		tryptophan[c]	1	1	serotonin[c]	1	1								
				tetrahydrobiopterin[c]	1	1	4alpha-hydroxytetrahydrobiopterin[c]	1	1								
				O2[c]	1	1	CO2[c]	1	1								
				H+[c]	1	1											
	130	Tyrosine synthesis (need phenylalanine)		phenylalanine[c]	1	1	tyrosine[c]	1	1								
				O2[c]	1	1	H2O[c]	1	1								
				NADH[c]	1	1	NAD+[c]	1	1								
							H+[c]	1	1								
	131	Tyrosine degradation		tyrosine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	132	Tyrosine to adrenaline		tyrosine[c]	2	2	adrenaline[c]	2	2								
				O2[c]	3	3	CO2[c]	2	2								
				ascorbate[c]	2	2	H2O[c]	2	2								
				SAM[c]	2	2	SAH[c]	2	2								
							dehydroascorbic acid[c]	2	2								
	133	Tyrosine to dopamine		tyrosine[c]	2	2	dopamine[c]	2	2								
				O2[c]	1	1	CO2[c]	2	2								
				H+[c]	2	2											
	134	Tyrosine to acetoacetate and fumarate		tyrosine[c]	1	1	fumarate[c]	1	1								
				AKG[c]	1	1	acetoacetate[c]	1	1								
				O2[c]	2	2	CO2[c]	1	1								
				H2O[c]	1	1	H+[c]	2	2								
							glutamate[c]	1	1								
	135	Valine degradation		valine[c]	1	1	H2O[c]										
				O2[c]			ATP[c]										
				Pi[c]			CO2[c]										
				ADP[c]			NH4+[c]										
				H+[c]													
	136	Valine to succinyl-coA		valine[m]	1	1	succinyl-CoA[m]	1	1								
				AKG[m]	1	1	glutamate[m]	1	1								
				CoA[m]	1	1	FADH2[m]	1	1								
				FAD[m]	1	1	CO2[m]	1	1								
				H2O[m]	2	2	H+[m]	3	3								
				NAD+[m]	3	3	NADH[m]	3	3								
	137	Hydroxymethylglutaryl-CoA synthesis		glucose[c]	3	3	HMG-CoA[m]	2	2								
				CoA[m]	2	2	ATP[c]	6	6								
				ADP[c]	6	6	NADH[c]	6	6								
				Pi[c]	6	6	NADH[m]	6	6								
				NAD+[m]	6	6	H2O[c]	6	6								
				NAD+[c]	6	6	CO2[m]	6	6								
				H2O[m]	2	2	H+[m]	8	8								
	138	Cholesterol synthesis		farnesyl-PP[c]	2	2	cholesterol[c]	1	1								
				H+[c]	9	9	PPi[c]	2	2								
				NADPH[c]	10	15	formate[c]	1	1								
				O2[c]	9	13	NADP+[c]	10	15								
				NAD+[c]	0	2	H2O[c]	7	11								
				FADH2[c]	1	1	NADH[c]	0	2								
							CO2[c]	2	2								
							FAD[c]	1	1								
	139	Acetoacetate synthesis		glucose[c]	1	1	acetoacetate[m]	1	1								
				NAD+[c]	2	2	NADH[c]	2	2								
				NAD+[m]	2	2	NADH[m]	2	2								
				ADP[c]	2	2	ATP[c]	2	2								
				Pi[c]	2	2	CO2[m]	2	2								
				H2O[m]	1	1	H+[m]	3	3								
							H2O[c]	2	2								
	140	Mevalonate synthesis		HMG-CoA[c]	1	1	(R)-mevalonate[c]	1	1								
				H+[c]	2	2	CoA[c]	1	1								
				NADPH[c]	2	2	NADP+[c]	2	2								
	141	Farnesyl-pyrophosphate synthesis		(R)-mevalonate[c]	3	3	farnesyl-PP[c]	1	1								
				ATP[c]	9	9	CO2[c]	3	3								
							ADP[c]	9	9								
							Pi[c]	3	3								
							PPi[c]	2	2								
							H+[c]	3	3								
	142	Glycerol-3-phosphate synthesis		DHAP[c]	1	1	sn-glycerol-3-phosphate[c]	1	1								
				H+[c]	1	1	NAD+[c]	1	1								
				NADH[c]	1	1											
	143	Phosphatidyl-choline synthesis		glucose[c]	1	17	PC-LD pool[c]	1	2								
				choline[c]	0	2	NADH[m]	0	32								
				NADPH[c]	0	56	NADH[c]	0	30								
				ATP[c]	0	14	NADP+[c]	0	56								
				HCO3-[c]	0	28	AMP[c]	0	16								
				H+[c]	0	26	PPi[c]	0	16								
				linolenate[c]	0		CO2[c]	0	28								
				linoleate[c]	0		H2O[c]	0	62								
				O2[c]	0		CO2[m]	0	32								
				NAD+[m]	0	32	H+[m]	0	32								
				NAD+[c]	0	30											
				ADP[c]	0	2											
				Pi[c]	0	4											
	144	Phosphatidyl-ethanolamine synthesis		glucose[c]	1	17	PE-LD pool[c]	1	2								
				ethanolamine[c]	0	2	NADH[c]	0	30								
				ADP[c]	0	12	NADH[m]	0	32								
				NAD+[c]	0	30	NADP+[c]	0	56								
				NAD+[m]	0	32	AMP[c]	0	16								
				Pi[c]	0	4	CO2[c]	0	28								
				NADPH[c]	0	56	H2O[c]	0	60								
				ATP[c]	0	4	PPi[c]	0	18								
				HCO3-[c]	0	28	CMP[c]	0	2								
				H+[c]	0	24	CO2[m]	0	32								
				CTP[c]	0	2	H+[m]	0	32								
				linolenate[c]	0												
				linoleate[c]	0												
				O2[c]	0												
	145	Phosphatidyl-serine synthesis		glucose[c]	1	17	PS-LD pool[c]	1	2								
				serine[c]	0	2	NADH[c]	0	30								
				ADP[c]	0	2	NADH[m]	0	32								
				Pi[c]	0	4	NADP+[c]	0	56								
				NAD+[c]	0	30	AMP[c]	0	16								
				NAD+[m]	0	32	PPi[c]	0	16								
				NADPH[c]	0	56	CO2[c]	0	28								
				ATP[c]	0	14	H2O[c]	0	62								
				HCO3-[c]	0	28	CO2[m]	0	32								
				H+[c]	0	26	H+[m]	0	32								
				linolenate[c]	0												
				linoleate[c]	0												
				O2[c]	0												
	146	Phosphatidyl-inositol synthesis		glucose[c]	1	17	PI pool[c]	1	2								
				NADPH[c]	0	56	CO2[c]	0	28								
				NAD+[c]	0	30	H2O[c]	0	60								
				NAD+[m]	0	32	NADP+[c]	0	56								
				ATP[c]	0	14	PPi[c]	0	18								
				HCO3-[c]	0	28	NADH[c]	0	30								
				inositol[c]	0	2	NADH[m]	0	32								
				H+[c]	0	24	AMP[c]	0	16								
				ADP[c]	0	2	CMP[c]	0	2								
				Pi[c]	0	4	CoA[c]	0	2								
				linolenate[c]	0		CO2[m]	0	32								
				linoleate[c]	0		H+[m]	0	32								
				O2[c]	0												
	147	Cardiolipin synthesis		glucose[c]	1	17.5	CL pool[c]	1	1								
				NADPH[c]	0	56	CO2[c]	0	28								
				ATP[c]	0	15	H2O[c]	0	59								
				HCO3-[c]	0	28	NADP+[c]	0	56								
				NAD+[c]	0	29	CMP[c]	0	2								
				NAD+[m]	0	32	PPi[c]	0	19								
				ADP[c]	0	1	NADH[c]	0	29								
				Pi[c]	0	3	NADH[m]	0	32								
				H+[c]	0	28	AMP[c]	0	16								
				linolenate[c]	0		CO2[m]	0	32								
				linoleate[c]	0		H+[m]	0	32								
				O2[c]	0												
	148	Triacylglycerol synthesis		glucose[c]	0	12.5	TAG-VLDL pool[c]	1	1								
				NADPH[c]	0	42	CO2[c]	0	21								
				NAD+[c]	0	23	H2O[c]	0	32								
				NAD+[m]	0	24	NADP+[c]	0	42								
				H+[c]	0	18	NADH[c]	0	23								
				ATP[c]	0	10	NADH[m]	0	24								
				HCO3-[c]	0	21	ADP[c]	0	9								
				linolenate[c]	0		Pi[c]	0	9								
				linoleate[c]	0		AMP[c]	0	12								
				O2[c]	0		PPi[c]	0	12								
							H+[m]	0	24								
							CO2[m]	0	24								
	149	Sphingomyelin synthesis		glucose[c]	1	8	SM pool[c]	1	1								
				NADPH[c]	0	28	CO2[c]	0	15								
				ATP[c]	0	6	H2O[c]	0	22								
				HCO3-[c]	0	15	NADP+[c]	0	28								
				serine[c]	0	1	NADH[c]	0	16								
				H+[c]	0	12	NADH[m]	0	16								
				ADP[c]	0	1	AMP[c]	0	8								
				Pi[c]	0	2	CMP[c]	0	1								
				NAD+[c]	0	16	PPi[c]	0	9								
				NAD+[m]	0	16	CO2[m]	0	16								
				choline[c]	0		H+[m]	0	16								
				CTP[c]	0												
				linolenate[c]	0												
				linoleate[c]	0												
				O2[c]	0												
	150	Ceramide synthesis		glucose[c]	1	8	ceramide pool[c]	1	1								
				serine[c]	0	1	NADH[c]	0	16								
				NADPH[c]	0	29	NADH[m]	0	16								
				ATP[c]	0	6	CO2[c]	0	15								
				HCO3-[c]	0	14	H2O[c]	0	22								
				FAD[c]	0	1	NADP+[c]	0	29								
				H+[c]	0	13	CO2[m]	0	16								
				Pi[c]	0	2	FADH2[c]	0	1								
				NAD+[c]	0	16	AMP[c]	0	8								
				NAD+[m]	0	16	PPi[c]	0	8								
				ADP[c]	0	2	H+[m]	0	16								
				linolenate[c]	0												
				linoleate[c]	0												
				O2[c]	0												
	151	Palmitate synthesis		glucose[c]	4	4	palmitate[c]	1	1								
				NADPH[c]	14	14	NADP+[c]	14	14								
				NAD+[c]	16	16	NADH[c]	16	16								
				ATP[c]	7	7	ADP[c]	7	7								
				HCO3-[c]	7	7	CO2[c]	15	15								
							H+[c]	3	3								
							Pi[c]	7	7								
							H2O[c]	6	6								
	152	Palmitate degradation		palmitate[c]	1	1	acetyl-CoA[c]	8	8								
				ATP[c]			AMP[c]										
				NAD+[c]			NADH[c]										
				CoA[c]			PPi[c]										
				FAD[c]			FADH2[c]										
				H2O[c]			H+[c]										
				O2[c]													
	153	Palmitolate synthesis		glucose[c]	4	4	palmitolate[c]	1	1								
				NADPH[c]	14	14	NADP+[c]	14	14								
				NAD+[c]	15	15	NADH[c]	15	15								
				ATP[c]	7	7	ADP[c]	7	7								
				HCO3-[c]	7	7	CO2[c]	15	15								
				O2[c]	1	1	H+[c]	2	2								
							Pi[c]	7	7								
							H2O[c]	8	8								
	154	Palmitolate degradation		palmitolate[c]	1	1	acetyl-CoA[c]	8	8								
				ATP[c]			AMP[c]										
				NAD+[c]			NADH[c]										
				CoA[c]			PPi[c]										
				FAD[c]			FADH2[c]										
				H2O[c]			H+[c]										
				O2[c]													
	155	cis-vaccenic acid synthesis		glucose[c]	9	9	cis-vaccenic acid[c]	2	2								
				NADPH[c]	32	32	CO2[c]	34	34								
				ATP[c]	16	16	H2O[c]	18	18								
				NAD+[c]	34	34	NADP+[c]	32	32								
				HCO3-[c]	16	16	NADH[c]	34	34								
				O2[c]	2	2	ADP[c]	16	16								
							Pi[c]	16	16								
							H+[c]	4	4								
	156	cis-vaccenic acid degradation		cis-vaccenic acid[c]	1	1	acetyl-CoA[c]	9	9								
				ATP[c]			AMP[c]										
				NAD+[c]			NADH[c]										
				CoA[c]			PPi[c]										
				FAD[c]			FADH2[c]										
				H2O[c]			H+[c]										
				O2[c]													
	157	Elaidate synthesis		glucose[c]	9	9	elaidate[c]	2	2								
				NADPH[c]	32	32	CO2[c]	34	34								
				ATP[c]	16	16	H2O[c]	18	18								
				NAD+[c]	34	34	NADP+[c]	32	32								
				HCO3-[c]	16	16	NADH[c]	34	34								
				O2[c]	2	2	ADP[c]	16	16								
							Pi[c]	16	16								
							H+[c]	4	4								
	158	Elaidate degradation		elaidate[c]	1	1	acetyl-CoA[c]	9	9								
				ATP[c]			AMP[c]										
				NAD+[c]			NADH[c]										
				CoA[c]			PPi[c]										
				FAD[c]			FADH2[c]										
				H2O[c]			H+[c]										
				O2[c]													
	159	Linolenate degradation		linolenate[c]	1	1	acetyl-CoA[c]	9	9								
				ATP[c]			AMP[c]										
				NAD+[c]			NADH[c]										
				CoA[c]			PPi[c]										
				FAD[c]			FADH2[c]										
				H2O[c]			H+[c]										
				O2[c]													
	160	Linoleate degradation		linoleate[c]	1	1	acetyl-CoA[c]	9	9								
				ATP[c]			AMP[c]										
				NAD+[c]			NADH[c]										
				CoA[c]			PPi[c]										
				FAD[c]			FADH2[c]										
				H2O[c]			H+[c]										
				O2[c]													
	161	gamma-Linolenate synthesis		linoleate[c]	1	1	gamma-linolenate[c]	1	1								
				NADH[c]	1	1	NAD+[c]	1	1								
				H+[c]	1	1	H2O[c]	2	2								
				O2[c]	1	1											
	162	gamma-Linolenate degradation		gamma-linolenate[c]	1	1	acetyl-CoA[c]	9	9								
				ATP[c]			AMP[c]										
				NAD+[c]			NADH[c]										
				CoA[c]			PPi[c]										
				FAD[c]			FADH2[c]										
				H2O[c]			H+[c]										
				O2[c]													
	163	Arachidonate synthesis		glucose[c]	1	1	arachidonate[c]	2	2								
				linoleate[c]	2	2	CO2[c]	4	4								
				ATP[c]	2	4	ADP[c]	2	4								
				HCO3-[c]	2	2	Pi[c]	2	4								
				NADPH[c]	8	8	NADP+[c]	8	8								
				H+[c]	8	8	H2O[c]	14	14								
				O2[c]	6	6											
	164	Arachidonate degradation		arachidonate[c]	1	1	acetyl-CoA[c]	10	10								
				ATP[c]			AMP[c]										
				NAD+[c]			NADH[c]										
				CoA[c]			PPi[c]										
				FAD[c]			FADH2[c]										
				H2O[c]			H+[c]										
				O2[c]													
	165	Synthesis of malonyl-coa		glucose[c]	1	1	malonyl-CoA[c]	2	2								
				NAD+[c]	2	2	CO2[m]	2	2								
				NAD+[m]	2	2	NADH[c]	2	2								
				CoA[c]	2	2	NADH[m]	2	2								
				ATP[c]	1	1	AMP[c]	1	1								
				HCO3-[c]	2	2	PPi[c]	1	1								
							H2O[c]	1	1								
							H+[m]	2	2								
							H+[c]	3	3								
	166	Synthesis of palmitoyl-CoA		glucose[c]	4	4	palmitoyl-CoA[c]	1	1								
				NADPH[c]	14	14	CO2[m]	15	15								
				ATP[c]	3	3	H2O[c]	12	12								
				ADP[c]	1	1	NADP+[c]	14	14								
				Pi[c]	1	1	NADH[c]	8	8								
				NAD+[c]	8	8	NADH[m]	8	8								
				NAD+[m]	8	8	AMP[c]	4	4								
				CoA[c]	1	1	PPi[c]	4	4								
				HCO3-[c]	7	7	H+[m]	8									
				H+[c]	8												
	167	Taurochenodeoxycholate synthesis		cholesterol[r]	1	1	taurochenodeoxycholate[e]	1	1								
				taurine[e]	1	1	propanoyl-CoA[e]	1	1								
				CoA[e]	1	1	AMP[e]	1	1								
				ATP[e]	1	1	PPi[e]	1	1								
				O2[r]	1	1	NADP+[m]	3	3								
				O2[e]	1	1	NADP+[r]	1	1								
				O2[m]	3	3	NADH[r]	1	1								
				NAD+[r]	1	1	NADP+[c]	1	1								
				H+[c]	2	2	NAD+[c]	1	1								
				H+[m]	2	2	H2O[m]	3	3								
				NADH[c]	1	1	H2O[r]	1	1								
				NADPH[c]	1	1	H2O[e]	1	1								
				NADPH[m]	3	3											
				NADPH[r]	1	1											
	168	Glycochenodeoxycholate synthesis		cholesterol[r]	1	1	glycochenodeoxycholate[e]	1	1								
				glycine[e]	1	1	propanoyl-CoA[e]	1	1								
				ATP[e]	1	1	AMP[e]	1	1								
				FADH2[e]	1	1	PPi[e]	1	1								
				CoA[e]	1	1	FAD[e]	1	1								
				NADPH[r]	1	1	H2O[r]	1	1								
				NADPH[c]	1	1	H2O[e]	3	3								
				NADPH[m]	3	3	H2O[m]	5	5								
				NADPH[e]	1	1	NADP+[r]	1	1								
				NAD+[r]	1	1	NADP+[e]	1	1								
				NADH[c]	1	1	NADP+[c]	1	1								
				H+[m]	2	2	NADP+[m]	3	3								
				H+[e]	1	1	NADH[r]	1	1								
				H+[c]	2	2	NAD+[c]	1	1								
				O2[m]	3	3											
				O2[r]	1	1											
				O2[e]	2	2											
	169	tauro-cholate synthesis		cholesterol[r]	1	1	taurocholate[e]	1	1								
				taurine[e]	1	1	propanoyl-CoA[e]	1	1								
				CoA[e]	1	1	AMP[e]	1	1								
				ATP[e]	1	1	PPi[e]	1	1								
				FADH2[e]	1	1	FAD[e]	1	1								
				NADPH[r]	1	4	NADPH[m]	1	2								
				NADPH[e]	1	1	NADP+[r]	1	1								
				NADPH[m]	0	2	NADP+[c]	1	2								
				NADPH[c]	0	1	NADP+[m]	2	2								
				NADH[c]	1	1	NADP+[e]	1	1								
				NADP+[m]	0	1	NAD+[c]	1	1								
				O2[r]	2	2	H2O[m]	2	2								
				O2[m]	2	2	H2O[r]	2	2								
				O2[e]	2	2	H2O[e]	3	3								
				H+[r]	1	1											
				H+[c]	2	2											
				H+[e]	1	1											
	170	glyco-cholate synthesis		cholesterol[r]	1	1	glycocholate[e]	1	1								
				glycine[e]	1	1	propanoyl-CoA[e]	1	1								
				ATP[e]	1	1	AMP[e]	1	1								
				FADH2[e]	1	1	PPi[e]	1	1								
				CoA[e]	1	1	FAD[e]	1	1								
				NADPH[r]	1	1	NADP+[m]	1	1								
				NADPH[e]	1	1	NADP+[r]	1	1								
				NADPH[m]	1	1	NADP+[c]	1	1								
				NADPH[c]	1	1	NADP+[e]	1	1								
				NADH[c]	1	1	NAD+[c]	1	1								
				H+[r]	1	1	H2O[m]	2	2								
				H+[e]	1	1	H2O[e]	3	3								
				H+[c]	2	2	H2O[r]	2	2								
				O2[r]	2	2											
				O2[m]	2	2											
				O2[e]	2	2											
	171	Synthesis of thromboxane from arachidonate		arachidonate[r]	1	1	thromboxane A2[r]	1	1								
				O2[r]	2	2	H2O[r]	1	1								
				NADPH[r]	1	1	NADP+[r]	1	1								
				H+[r]	1	1											
	172	Synthesis of galactosyl glucosyl ceramide (link with ganglioside metabolism)		glucose[c]			LacCer pool[g]	1	1								
				serine[c]	0	1	CoA[c]	0	16								
				NADPH[c]	0	29	CO2[c]	0	15								
				ATP[c]	0	14	H2O[c]	0	14								
				HCO3-[c]	0	14	NADP+[c]	0	29								
				FAD[c]	0	1	ADP[c]	0	14								
				H+[c]	0	21	Pi[c]	0	14								
				linolenate[c]	0		FADH2[c]	0	1								
				linoleate[c]	0		UDP[g]	0	1								
				O2[c]	0		H+[g]	0	1								
				UDP-galactose[g]	0	1	H+[r]	0	1								
				UDP-glucose[r]	0	1	UDP[r]	0	1								
	173	Synthesis of glucocerebroside		acetyl-CoA[c]	0	16	glucosylceramide pool[r]	1	1								
				serine[c]	0	1	CoA[c]	0	16								
				NADPH[c]	0	29	CO2[c]	0	15								
				ATP[c]	0	14	H2O[c]	0	14								
				HCO3-[c]	0	14	NADP+[c]	0	29								
				FAD[c]	0	1	ADP[c]	0	14								
				H+[c]	0	21	Pi[c]	0	14								
				linolenate[c]	0		FADH2[c]	0	1								
				linoleate[c]	0		H+[r]	0	1								
				O2[c]	0		UDP[r]	0	1								
				UDP-glucose[r]	0	1											
	174	Synthesis of globoside (link with globoside metabolism)		acetyl-CoA[c]	0	16	globoside[g]	1	1								
				serine[c]	0	1	CoA[c]	0	16								
				NADPH[c]	0	29	CO2[c]	0	15								
				ATP[c]	0	14	H2O[c]	0	14								
				HCO3-[c]	0	14	NADP+[c]	0	29								
				FAD[c]	0	1	ADP[c]	0	14								
				H+[c]	0	21	Pi[c]	0	14								
				linolenate[c]	0		FADH2[c]	0	1								
				linoleate[c]	0		UDP[g]	0	3								
				O2[c]	0		H+[g]	0	3								
				UDP-N-acetyl-D-galactosamine[g]	0	1	H+[r]	0	1								
				UDP-galactose[g]	0	2	UDP[r]	0	1								
				UDP-glucose[r]	0	1											
	175	NAD synthesis from nicotinamide		nicotinamide[c]	1	1	NAD+[c]	1	1								
				PRPP[c]	1	1	PPi[c]	2	2								
				ATP[c]	1	1											
				H+[c]	2	2											
	176	FAD synthesis		riboflavin[c]	1	1	FAD[c]	1	1								
				ATP[c]	2	2	ADP[c]	1	1								
							PPi[c]	1	1								
	177	Synthesis of coenzyme A		pantothenate[c]	1	1	CoA[c]	1	1								
				cysteine[c]	1	1	AMP[c]	1	1								
				ATP[c]	4	4	ADP[c]	2	2								
							CO2[c]	1	1								
							PPi[c]	2	2								
