	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	176	6Z,9Z,12Z,15Z,18Z-TPA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							(6Z,9Z,12Z,15Z,18Z)-TPA[c]	1									
	177	4Z,7Z,10Z,13Z,16Z-DPA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							(4Z,7Z,10Z,13Z,16Z)-DPA[c]	1									
	178	11Z,14Z-eicosadienoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							(11Z,14Z)-eicosadienoic acid[c]	1									
	179	13Z,16Z-docosadienoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							(13Z,16Z)-docosadienoic acid[c]	1									
	180	10,13,16-docosatriynoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linoleate[e]			CO2[e];H2O[e]										
							10,13,16-docosatriynoic acid[c]	1									
	181	Lauric acid (complete oxidation)		lauric acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	182	Tridecylic acid (complete oxidation)		tridecylic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	183	Myristic acid (complete oxidation)		myristic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	184	9E-tetradecenoic acid (complete oxidation)		(9E)-tetradecenoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	185	7Z-tetradecenoic acid (complete oxidation)		(7Z)-tetradecenoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	186	Physeteric acid (complete oxidation)		physeteric acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	187	Pentadecylic acid (complete oxidation)		pentadecylic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	188	Palmitate (complete oxidation)		palmitate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	189	Palmitolate (complete oxidation)		palmitolate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	190	7-palmitoleic acid (complete oxidation)		7-palmitoleic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	191	Margaric acid (complete oxidation)		margaric acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	192	10Z-heptadecenoic acid (complete oxidation)		(10Z)-heptadecenoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	193	9-heptadecylenic acid (complete oxidation)		9-heptadecylenic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	194	Stearate (complete oxidation)		stearate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	195	13Z-octadecenoic acid (complete oxidation)		(13Z)-octadecenoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	196	cis-vaccenic acid (complete oxidation)		cis-vaccenic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	197	Oleate (complete oxidation)		oleate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	198	Elaidate (complete oxidation)		elaidate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	199	7Z-octadecenoic acid (complete oxidation)		(7Z)-octadecenoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	200	6Z,9Z-octadecadienoic acid (complete oxidation)		(6Z,9Z)-octadecadienoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	201	Nonadecylic acid (complete oxidation)		nonadecylic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	202	Eicosanoate (complete oxidation)		eicosanoate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	203	13Z-Eicosenoic acid (complete oxidation)		(13Z)-eicosenoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	204	cis-gondoic acid (complete oxidation)		cis-gondoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	205	9-Eicosenoic acid (complete oxidation)		9-eicosenoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	206	8,11-Eicosadienoic acid (complete oxidation)		8,11-eicosadienoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	207	Mead acid (complete oxidation)		mead acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	208	Henicosanoic acid (complete oxidation)		henicosanoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	209	Behenic acid (complete oxidation)		behenic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	210	cis-erucic acid (complete oxidation)		cis-erucic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	211	cis-cetoleic acid (complete oxidation)		cis-cetoleic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	212	Tricosanoic acid (complete oxidation)		tricosanoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	213	Lignocerate (complete oxidation)		lignocerate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	214	Nervonic acid (complete oxidation)		nervonic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	215	Cerotic acid (complete oxidation)		cerotic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	216	Ximenic acid (complete oxidation)		ximenic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	217	Linolenate (complete oxidation)		linolenate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	218	Stearidonic acid (complete oxidation)		stearidonic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	219	omega-3-Arachidonic acid (complete oxidation)		omega-3-arachidonic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	220	EPA (complete oxidation)		EPA[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	221	DPA (complete oxidation)		DPA[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	222	9Z,12Z,15Z,18Z,21Z-TPA (complete oxidation)		(9Z,12Z,15Z,18Z,21Z)-TPA[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	223	6Z,9Z,12Z,15Z,18Z,21Z-THA (complete oxidation)		(6Z,9Z,12Z,15Z,18Z,21Z)-THA[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	224	DHA (complete oxidation)		DHA[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	225	11Z,14Z,17Z-eicosatrienoic acid (complete oxidation)		(11Z,14Z,17Z)-eicosatrienoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	226	13,16,19-docosatrienoic acid (complete oxidation)		13,16,19-docosatrienoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	227	10,13,16,19-docosatetraenoic acid (complete oxidation)		10,13,16,19-docosatetraenoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	228	12,15,18,21-tetracosatetraenoic acid (complete oxidation)		12,15,18,21-tetracosatetraenoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	229	Linoleate (complete oxidation)		linoleate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	230	gamma-Linolenate (complete oxidation)		gamma-linolenate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	231	Dihomo-gamma-linolenate (complete oxidation)		dihomo-gamma-linolenate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	232	Arachidonate (complete oxidation)		arachidonate[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	233	Adrenic acid (complete oxidation)		adrenic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	234	9Z,12Z,15Z,18Z-TTA (complete oxidation)		(9Z,12Z,15Z,18Z)-TTA[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	235	6Z,9Z,12Z,15Z,18Z-TPA (complete oxidation)		(6Z,9Z,12Z,15Z,18Z)-TPA[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	236	4Z,7Z,10Z,13Z,16Z-DPA (complete oxidation)		(4Z,7Z,10Z,13Z,16Z)-DPA[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	237	11Z,14Z-eicosadienoic acid (complete oxidation)		(11Z,14Z)-eicosadienoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	238	13Z,16Z-docosadienoic acid (complete oxidation)		(13Z,16Z)-docosadienoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	239	10,13,16-docosatriynoic acid (complete oxidation)		10,13,16-docosatriynoic acid[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	240	Triacylglycerol de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];linoleate[e];linolenate[e]			H2O[e];CO2[e]										
							TAG-LD pool[c]	1									
	241	Glycocholate de novo synthesis and excretion (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];phenylalanine[e]			H2O[e];CO2[e];urea[e]										
							glycocholate[e]	1									
	242	Glycochenodeoxycholate de novo synthesis and excretion		O2[e];glucose[e];Pi[e];phenylalanine[e]			H2O[e];CO2[e];urea[e]										
							glycochenodeoxycholate[e]	1									
	243	Taurocholate de novo synthesis and excretion (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];phenylalanine[e];cysteine[e]			H2O[e];CO2[e];urea[e]										
							taurocholate[e]	1									
	244	Taurochenodeoxycholate de novo synthesis and excretion (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];phenylalanine[e];cysteine[e]			H2O[e];CO2[e];urea[e]										
							taurochenodeoxycholate[e]	1									
	245	PAPS de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];NH3[e];sulfate[e];histidine[e];valine[e]			H2O[e];CO2[e];urate[e]										
							PAPS[c]	1									
	246	PAP degradation		PAPS[c]			CO2[e];H2O[e];urate[e];Pi[e];H2S[e]										
				O2[e]													
	247	SAM de novo synthesis (minimal substrates, physiological excretion)		O2[e];NH3[e];glucose[e];methionine[e]			H2O[e];CO2[e];urate[e]										
							SAM[c]	1									
	248	GSH de novo synthesis (minimal substrates, physiological excretion)		O2[e];NH3[e];glucose[e];methionine[e]			H2O[e];CO2[e];urate[e]										
							GSH[c]	1									
	249	Bilirubin conjugation (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];bilirubin[e]			H2O[e];CO2[e]										
							bilirubin-bisglucuronoside[e]	1									
	250	NH3 import and degradation		NH3[e];O2[e];glucose[e]			CO2[e];H2O[e]										
							urea[e]	1									
	251	Ethanol import and degradation (minimal substrates, minimalexcretion)		ethanol[e]	1	1	CO2[e];H2O[e]										
				O2[e]													
	252	Oxidative phosphorylation		succinate[m]	1	1	fumarate[m]	1	1	ATP[m] + H2O[m] => ADP[m] + Pi[m] + H+[m]	1						
				NADH[m];H+[m]	1	1	NAD+[m]	1	1								
				O2[e]			H2O[e]										
	253	Oxidative decarboxylation		pyruvate[m];NAD+[m];CoA[m]	1	1	acetyl-CoA[m];NADH[m];CO2[e]	1	1								
	254	Krebs cycle NADH		acetyl-CoA[m];GDP[m];ubiquinone[m]	1	1	CoA[m];ubiquinol[m];GTP[m]	1	1								
				NAD+[m]	3	3	NADH[m]	3	3								
				Pi[m];H2O[e]			CO2[e];H+[c];H+[m]										
	255	Ubiquinol-to-proton		ubiquinol[m]	1	1	ubiquinone[m]	1	1								
				O2[e];H+[m]			H2O[e]										
							H+[c]	6									
	256	Ubiquinol-to-ATP		ubiquinol[m]	1	1	ubiquinone[m]	1	1	ATP[m] + H2O[m] => ADP[m] + Pi[m] + H+[m]	1						
				O2[e];H+[m]			H2O[e];H+[m];H+[c]										
	257	Biosynthesis of Vitamin C (ascorbate)	TRUE	O2[e];glucose[e]			ascorbate[c]	1									
							H2O[e];CO2[e]										
