mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID
"m01209r"	"m01209"	""	"C14769"	"HMDB02232"	"CHEBI:34490"	"5283203"	"LMFA03080003"	""	""	"C14769"	"MNXM6139"	"m01209r"
"m01210c"	"m01210"	""	""	""	""	""	""	"CE2729"	""	"CE2729"	""	"m01210c"
"m01211c"	"m01211"	""	""	""	""	""	""	"CE7101"	""	"CE7101"	"MNXM151611"	"m01211c"
"m01212c"	"m01212"	""	""	""	""	""	""	"CE5835"	""	"CE5835"	"MNXM166711"	"m01212c"
"m01213c"	"m01213"	""	""	""	""	""	"LMFA03060086"	""	""	"M01213"	"MNXM24861;MNXM489596"	"m01213c"
"m01214c"	"m01214"	""	""	""	""	""	""	"CE5928"	""	"CE5928"	""	"m01214c"
"m01215c"	"m01215"	""	""	""	""	""	""	"CE6420"	""	"CE6420"	"MNXM166710"	"m01215c"
"m01216c"	"m01216"	""	"C14825"	"HMDB04701"	""	"6246154"	"LMFA01070018;LMFA02000037"	""	""	"C14825"	"MNXM6142"	"m01216c"
"m01216r"	"m01216"	""	"C14825"	"HMDB04701"	""	"6246154"	"LMFA01070018;LMFA02000037"	""	""	"C14825"	"MNXM6142"	"m01216r"
"m01217c"	"m01217"	""	"C14827"	""	"CHEBI:34498"	""	"LMFA02000012"	""	""	"M01217"	"MNXM1867"	"m01217c"
"m01218c"	"m01218"	""	""	""	""	"18172"	""	"CE6502"	""	"CE6502"	"MNXM15096"	"m01218c"
"m01219c"	"m01219"	""	""	""	""	""	"LMFA02000037"	"CE2725"	""	"CE2725"	""	"m01219c"
"m01220c"	"m01220"	""	"C14828"	"HMDB04704"	""	"9966640"	""	"CE2047"	""	"CE2047"	"MNXM93048"	"m01220c"
"m01220r"	"m01220"	""	"C14828"	"HMDB04704"	""	"9966640"	""	"CE2047"	""	"CE2047"	"MNXM93048"	"m01220r"
"m01221c"	"m01221"	""	""	""	""	"5283078"	""	"CE5924"	""	"CE5924"	""	"m01221c"
"m01222c"	"m01222"	""	""	""	""	""	""	"CE5533"	""	"CE5533"	""	"m01222c"
"m01223c"	"m01223"	""	""	""	""	""	""	"CE5534"	""	"CE5534"	""	"m01223c"
"m01224c"	"m01224"	""	""	""	""	"6419708"	""	"CE5594"	""	"CE5594"	"MNXM118676"	"m01224c"
"m01225m"	"m01225"	""	""	""	""	""	""	"CE5856"	""	"CE5856"	"MNXM39475"	"m01225m"
"m01226m"	"m01226"	""	""	""	""	""	""	"CE5851"	""	"CE5851"	"MNXM39476"	"m01226m"
"m01227m"	"m01227"	""	""	""	""	""	""	"CE5719"	""	"CE5719"	"MNXM39477"	"m01227m"
"m01228m"	"m01228"	""	""	""	""	""	""	"CE5847"	""	"CE5847"	"MNXM39478"	"m01228m"
"m01229c"	"m01229"	""	""	""	""	""	""	"CE3136"	""	"CE3136"	"MNXM166718"	"m01229c"
"m01230c"	"m01230"	"retinal_cis_9"	""	""	""	"638015"	""	"CE5575"	""	"retinal_cis_9"	"MNXM162775;MNXM2209"	"m01230c"
"m01230r"	"m01230"	"retinal_cis_9"	""	""	""	"638015"	""	"CE5575"	""	"retinal_cis_9"	"MNXM162775;MNXM2209"	"m01230r"
"m01231c"	"m01231"	""	""	""	""	"449171"	""	"CE1617"	""	"CE1617"	"MNXM10472"	"m01231c"
"m01231r"	"m01231"	""	""	""	""	"449171"	""	"CE1617"	""	"CE1617"	"MNXM10472"	"m01231r"
"m01232c"	"m01232"	"retinol_9_cis"	""	""	""	"9947823"	""	"CE1754"	""	"retinol_9_cis"	"MNXM162711;MNXM2626"	"m01232c"
"m01233c"	"m01233"	""	""	""	""	"5281877"	""	"CE5756"	""	"CE5756"	"MNXM166720"	"m01233c"
"m01233r"	"m01233"	""	""	""	""	"5281877"	""	"CE5756"	""	"CE5756"	"MNXM166720"	"m01233r"
"m01234c"	"m01234"	""	""	""	""	""	""	"CE6240"	""	"CE6240"	"MNXM151627"	"m01234c"
"m01235c"	"m01235"	""	""	""	"CHEBI:32419"	""	"LMFA01030700"	""	""	"M01235"	"MNXM489768;MNXM54093"	"m01235c"
"m01235l"	"m01235"	""	""	""	"CHEBI:32419"	""	"LMFA01030700"	""	""	"M01235"	"MNXM489768;MNXM54093"	"m01235l"
"m01235r"	"m01235"	""	""	""	"CHEBI:32419"	""	"LMFA01030700"	""	""	"M01235"	"MNXM489768;MNXM54093"	"m01235r"
"m01235s"	"m01235"	""	""	""	"CHEBI:32419"	""	"LMFA01030700"	""	""	"M01235"	"MNXM489768;MNXM54093"	"m01235s"
"m01236c"	"m01236"	""	""	""	""	""	""	""	""	"M01236"	""	"m01236c"
"m01236m"	"m01236"	""	""	""	""	""	""	""	""	"M01236"	""	"m01236m"
"m01236r"	"m01236"	""	""	""	""	""	""	""	""	"M01236"	""	"m01236r"
"m01237c"	"m01237"	""	""	""	""	""	""	""	""	"M01237"	"MNXM146023"	"m01237c"
"m01237m"	"m01237"	""	""	""	""	""	""	""	""	"M01237"	"MNXM146023"	"m01237m"
"m01237r"	"m01237"	""	""	""	""	""	""	""	""	"M01237"	"MNXM146023"	"m01237r"
"m01238c"	"m01238"	""	"C16536"	""	""	""	"LMFA01030060"	""	""	"M01238"	"MNXM153514;MNXM489761;MNXM489769"	"m01238c"
"m01238l"	"m01238"	""	"C16536"	""	""	""	"LMFA01030060"	""	""	"M01238"	"MNXM153514;MNXM489761;MNXM489769"	"m01238l"
"m01238r"	"m01238"	""	"C16536"	""	""	""	"LMFA01030060"	""	""	"M01238"	"MNXM153514;MNXM489761;MNXM489769"	"m01238r"
"m01238s"	"m01238"	""	"C16536"	""	""	""	"LMFA01030060"	""	""	"M01238"	"MNXM153514;MNXM489761;MNXM489769"	"m01238s"
"m01239c"	"m01239"	""	""	""	""	""	"LMFA03060089"	""	""	"M01239"	"MNXM118690;MNXM489722"	"m01239c"
"m01240c"	"m01240"	""	""	""	""	""	""	"CE2303"	""	"CE2303"	"MNXM151630"	"m01240c"
"m01240r"	"m01240"	""	""	""	""	""	""	"CE2303"	""	"CE2303"	"MNXM151630"	"m01240r"
"m01241c"	"m01241"	""	"C14556"	""	""	""	""	""	""	"M01241"	"MNXM6986"	"m01241c"
"m01242c"	"m01242"	""	"C14854"	""	""	""	""	""	""	"M01242"	"MNXM10473"	"m01242c"
"m01243c"	"m01243"	""	""	""	""	""	""	"CE2539"	""	"CE2539"	""	"m01243c"
"m01244c"	"m01244"	"oagd3_hs"	""	""	""	""	""	""	""	"oagd3_hs"	"MNXM6987"	"m01244c"
"m01244g"	"m01244"	"oagd3_hs"	""	""	""	""	""	""	""	"oagd3_hs"	"MNXM6987"	"m01244g"
"m01244s"	"m01244"	"oagd3_hs"	""	""	""	""	""	""	""	"oagd3_hs"	"MNXM6987"	"m01244s"
"m01245c"	"m01245"	"oagt3_hs"	""	""	""	""	""	""	""	"oagt3_hs"	"MNXM6988"	"m01245c"
"m01245g"	"m01245"	"oagt3_hs"	""	""	""	""	""	""	""	"oagt3_hs"	"MNXM6988"	"m01245g"
"m01245s"	"m01245"	"oagt3_hs"	""	""	""	""	""	""	""	"oagt3_hs"	"MNXM6988"	"m01245s"
"m01246c"	"m01246"	""	""	""	""	""	""	"CE5535"	""	"CE5535"	"MNXM151634"	"m01246c"
"m01247c"	"m01247"	""	""	""	"CHEBI:71980"	""	""	"CE6584"	""	"CE6584"	"MNXM63979"	"m01247c"
"m01248c"	"m01248"	""	""	""	""	""	""	"CE6585"	""	"CE6585"	"MNXM50735"	"m01248c"
"m01249c"	"m01249"	"acald"	"C00084"	"HMDB00990"	"CHEBI:15343"	"177"	""	""	"HC00087"	"acald"	"MNXM75"	"m01249c"
"m01249m"	"m01249"	"acald"	"C00084"	"HMDB00990"	"CHEBI:15343"	"177"	""	""	"HC00087"	"acald"	"MNXM75"	"m01249m"
"m01249p"	"m01249"	"acald"	"C00084"	"HMDB00990"	"CHEBI:15343"	"177"	""	""	"HC00087"	"acald"	"MNXM75"	"m01249p"
"m01249r"	"m01249"	"acald"	"C00084"	"HMDB00990"	"CHEBI:15343"	"177"	""	""	"HC00087"	"acald"	"MNXM75"	"m01249r"
"m01249s"	"m01249"	"acald"	"C00084"	"HMDB00990"	"CHEBI:15343"	"177"	""	""	"HC00087"	"acald"	"MNXM75"	"m01249s"
"m01250c"	"m01250"	""	""	""	""	"5460495"	""	"CE4788"	""	"CE4788"	"MNXM771"	"m01250c"
"m01250p"	"m01250"	""	""	""	""	"5460495"	""	"CE4788"	""	"CE4788"	"MNXM771"	"m01250p"
"m01251c"	"m01251"	""	"C07565"	""	"CHEBI:28884"	""	""	""	""	"M01251"	"MNXM2073;MNXM7574"	"m01251c"
"m01252c"	"m01252"	"ac"	"C00033"	"HMDB00042"	"CHEBI:15366"	"176"	"LMFA01010002"	""	"HC00042"	"ac"	"MNXM26"	"m01252c"
"m01252g"	"m01252"	"ac"	"C00033"	"HMDB00042"	"CHEBI:15366"	"176"	"LMFA01010002"	""	"HC00042"	"ac"	"MNXM26"	"m01252g"
"m01252m"	"m01252"	"ac"	"C00033"	"HMDB00042"	"CHEBI:15366"	"176"	"LMFA01010002"	""	"HC00042"	"ac"	"MNXM26"	"m01252m"
"m01252p"	"m01252"	"ac"	"C00033"	"HMDB00042"	"CHEBI:15366"	"176"	"LMFA01010002"	""	"HC00042"	"ac"	"MNXM26"	"m01252p"
"m01252r"	"m01252"	"ac"	"C00033"	"HMDB00042"	"CHEBI:15366"	"176"	"LMFA01010002"	""	"HC00042"	"ac"	"MNXM26"	"m01252r"
"m01252s"	"m01252"	"ac"	"C00033"	"HMDB00042"	"CHEBI:15366"	"176"	"LMFA01010002"	""	"HC00042"	"ac"	"MNXM26"	"m01252s"
"m01253c"	"m01253"	"acac"	"C00164"	"HMDB00060"	"CHEBI:15344"	"96"	"LMFA01060003"	""	"HC00159"	"acac"	"MNXM154"	"m01253c"
"m01253m"	"m01253"	"acac"	"C00164"	"HMDB00060"	"CHEBI:15344"	"96"	"LMFA01060003"	""	"HC00159"	"acac"	"MNXM154"	"m01253m"
"m01253s"	"m01253"	"acac"	"C00164"	"HMDB00060"	"CHEBI:15344"	"96"	"LMFA01060003"	""	"HC00159"	"acac"	"MNXM154"	"m01253s"
"m01254c"	"m01254"	""	"C05744"	""	""	""	""	""	"HC01587"	"HC01587"	"MNXM1223"	"m01254c"
"m01255c"	"m01255"	"aacoa"	"C00332"	""	"CHEBI:15345"	"439214"	"LMFA07050030"	""	"HC00282"	"aacoa"	"MNXM133"	"m01255c"
"m01255m"	"m01255"	"aacoa"	"C00332"	""	"CHEBI:15345"	"439214"	"LMFA07050030"	""	"HC00282"	"aacoa"	"MNXM133"	"m01255m"
"m01255p"	"m01255"	"aacoa"	"C00332"	""	"CHEBI:15345"	"439214"	"LMFA07050030"	""	"HC00282"	"aacoa"	"MNXM133"	"m01255p"
"m01256c"	"m01256"	"acetone"	"C00207"	"HMDB01659"	"CHEBI:15347"	"180"	""	""	"HC00193"	"acetone"	"MNXM398"	"m01256c"
"m01256m"	"m01256"	"acetone"	"C00207"	"HMDB01659"	"CHEBI:15347"	"180"	""	""	"HC00193"	"acetone"	"MNXM398"	"m01256m"
"m01256s"	"m01256"	"acetone"	"C00207"	"HMDB01659"	"CHEBI:15347"	"180"	""	""	"HC00193"	"acetone"	"MNXM398"	"m01256s"
"m01257c"	"m01257"	""	"C05993"	""	"CHEBI:37666"	"440867"	""	""	"HC01672"	"HC01672"	"MNXM4377"	"m01257c"
"m01258c"	"m01258"	"acACP"	"C03939"	""	""	""	""	""	"HC01204"	"acACP"	"MNXM1269"	"m01258c"
"m01259c"	"m01259"	""	""	""	""	"10221026"	""	"CE2065"	""	"CE2065"	"MNXM40087"	"m01259c"
"m01260c"	"m01260"	"ach"	"C01996"	"HMDB00895"	"CHEBI:15355"	"187"	""	""	"HC00877"	"ach"	"MNXM793"	"m01260c"
"m01260n"	"m01260"	"ach"	"C01996"	"HMDB00895"	"CHEBI:15355"	"187"	""	""	"HC00877"	"ach"	"MNXM793"	"m01260n"
"m01260s"	"m01260"	"ach"	"C01996"	"HMDB00895"	"CHEBI:15355"	"187"	""	""	"HC00877"	"ach"	"MNXM793"	"m01260s"
"m01261c"	"m01261"	"accoa"	"C00024"	"HMDB01206"	"CHEBI:15351"	"444493"	"LMFA07050029"	""	"HC00033"	"accoa"	"MNXM21"	"m01261c"
"m01261g"	"m01261"	"accoa"	"C00024"	"HMDB01206"	"CHEBI:15351"	"444493"	"LMFA07050029"	""	"HC00033"	"accoa"	"MNXM21"	"m01261g"
"m01261m"	"m01261"	"accoa"	"C00024"	"HMDB01206"	"CHEBI:15351"	"444493"	"LMFA07050029"	""	"HC00033"	"accoa"	"MNXM21"	"m01261m"
"m01261n"	"m01261"	"accoa"	"C00024"	"HMDB01206"	"CHEBI:15351"	"444493"	"LMFA07050029"	""	"HC00033"	"accoa"	"MNXM21"	"m01261n"
"m01261p"	"m01261"	"accoa"	"C00024"	"HMDB01206"	"CHEBI:15351"	"444493"	"LMFA07050029"	""	"HC00033"	"accoa"	"MNXM21"	"m01261p"
"m01261r"	"m01261"	"accoa"	"C00024"	"HMDB01206"	"CHEBI:15351"	"444493"	"LMFA07050029"	""	"HC00033"	"accoa"	"MNXM21"	"m01261r"
"m01262g"	"m01262"	"acgalfuc12gal14acglcgalgluside_hs"	""	""	""	""	""	""	""	"acgalfuc12gal14acglcgalgluside_hs"	"MNXM9469"	"m01262g"
"m01263g"	"m01263"	"acgalfucgalacglcgal14acglcgalgluside_hs"	""	""	""	""	""	""	""	"acgalfucgalacglcgal14acglcgalgluside_hs"	"MNXM9472"	"m01263g"
"m01264g"	"m01264"	"acngalacglcgalgluside_hs"	""	""	""	""	""	""	""	"acngalacglcgalgluside_hs"	"MNXM41010"	"m01264g"
"m01265m"	"m01265"	"prpncoa"	"C00894"	""	"CHEBI:15513"	"439340"	""	""	"HC00579"	"prpncoa"	"MNXM650"	"m01265m"
"m01266c"	"m01266"	""	"C10905"	""	""	""	""	""	"HC01797"	"HC01797"	"MNXM2964"	"m01266c"
"m01267c"	"m01267"	""	""	""	""	""	""	""	"HC02116"	"HC02116"	"MNXM166880"	"m01267c"
"m01268c"	"m01268"	""	""	""	""	""	"PROTEIN"	""	""	"M01268"	""	"m01268c"
"m01268m"	"m01268"	""	""	""	""	""	"PROTEIN"	""	""	"M01268"	""	"m01268m"
"m01268n"	"m01268"	""	""	""	""	""	"PROTEIN"	""	""	"M01268"	""	"m01268n"
"m01268p"	"m01268"	""	""	""	""	""	"PROTEIN"	""	""	"M01268"	""	"m01268p"
"m01268r"	"m01268"	""	""	""	""	""	"PROTEIN"	""	""	"M01268"	""	"m01268r"
"m01268s"	"m01268"	""	""	""	""	""	"PROTEIN"	""	""	"M01268"	""	"m01268s"
"m01269c"	"m01269"	""	""	""	""	""	""	""	"HC02082"	"HC02082"	""	"m01269c"
"m01270c"	"m01270"	""	""	""	""	""	""	""	"HC02089"	"HC02089"	""	"m01270c"
"m01271c"	"m01271"	""	""	""	""	""	""	""	"HC02044"	"HC02044"	""	"m01271c"
"m01272c"	"m01272"	""	""	""	""	""	""	""	"HC02045"	"HC02045"	"MNXM44"	"m01272c"
"m01273c"	"m01273"	""	""	""	""	""	""	""	"HC02047"	"HC02047"	""	"m01273c"
"m01274c"	"m01274"	""	""	""	""	""	""	""	"HC02046"	"HC02046"	""	"m01274c"
"m01275c"	"m01275"	""	""	""	""	""	""	""	"HC02048"	"HC02048"	""	"m01275c"
"m01276c"	"m01276"	""	""	""	""	""	""	""	"HC02043"	"HC02043"	""	"m01276c"
"m01277c"	"m01277"	""	""	""	""	""	""	""	"HC02061"	"HC02061"	""	"m01277c"
"m01278c"	"m01278"	"adhap_hs"	"C03372"	""	"CHEBI:15835"	""	""	""	""	"adhap_hs"	"MNXM94364"	"m01278c"
"m01278p"	"m01278"	"adhap_hs"	"C03372"	""	"CHEBI:15835"	""	""	""	""	"adhap_hs"	"MNXM94364"	"m01278p"
"m01279c"	"m01279"	"ade"	"C00147"	"HMDB00034"	"CHEBI:16708"	"190"	""	""	"HC00144"	"ade"	"MNXM168"	"m01279c"
"m01279l"	"m01279"	"ade"	"C00147"	"HMDB00034"	"CHEBI:16708"	"190"	""	""	"HC00144"	"ade"	"MNXM168"	"m01279l"
"m01279s"	"m01279"	"ade"	"C00147"	"HMDB00034"	"CHEBI:16708"	"190"	""	""	"HC00144"	"ade"	"MNXM168"	"m01279s"
"m01280c"	"m01280"	"adn"	"C00212"	"HMDB00050"	"CHEBI:16335"	"60961"	""	""	"HC00196"	"adn"	"MNXM212"	"m01280c"
"m01280l"	"m01280"	"adn"	"C00212"	"HMDB00050"	"CHEBI:16335"	"60961"	""	""	"HC00196"	"adn"	"MNXM212"	"m01280l"
"m01280m"	"m01280"	"adn"	"C00212"	"HMDB00050"	"CHEBI:16335"	"60961"	""	""	"HC00196"	"adn"	"MNXM212"	"m01280m"
"m01280s"	"m01280"	"adn"	"C00212"	"HMDB00050"	"CHEBI:16335"	"60961"	""	""	"HC00196"	"adn"	"MNXM212"	"m01280s"
"m01281c"	"m01281"	""	"C19848"	""	""	""	""	""	""	"M01281"	"MNXM3054"	"m01281c"
"m01282c"	"m01282"	"dcamp"	"C03794"	""	"CHEBI:15919"	"447145"	""	""	"HC01183"	"dcamp"	"MNXM565"	"m01282c"
"m01283c"	"m01283"	"aps"	"C00224"	""	"CHEBI:17709"	"10238"	""	""	"HC00204"	"aps"	"MNXM287"	"m01283c"
"m01284c"	"m01284"	"adsel"	"C05686"	""	""	"440758"	""	""	""	"adsel"	"MNXM92092"	"m01284c"
"m01285c"	"m01285"	"adp"	"C00008"	"HMDB01341"	"CHEBI:16761"	"6022"	""	""	"HC00018"	"adp"	"MNXM7"	"m01285c"
"m01285g"	"m01285"	"adp"	"C00008"	"HMDB01341"	"CHEBI:16761"	"6022"	""	""	"HC00018"	"adp"	"MNXM7"	"m01285g"
"m01285l"	"m01285"	"adp"	"C00008"	"HMDB01341"	"CHEBI:16761"	"6022"	""	""	"HC00018"	"adp"	"MNXM7"	"m01285l"
"m01285m"	"m01285"	"adp"	"C00008"	"HMDB01341"	"CHEBI:16761"	"6022"	""	""	"HC00018"	"adp"	"MNXM7"	"m01285m"
"m01285n"	"m01285"	"adp"	"C00008"	"HMDB01341"	"CHEBI:16761"	"6022"	""	""	"HC00018"	"adp"	"MNXM7"	"m01285n"
"m01285p"	"m01285"	"adp"	"C00008"	"HMDB01341"	"CHEBI:16761"	"6022"	""	""	"HC00018"	"adp"	"MNXM7"	"m01285p"
"m01285r"	"m01285"	"adp"	"C00008"	"HMDB01341"	"CHEBI:16761"	"6022"	""	""	"HC00018"	"adp"	"MNXM7"	"m01285r"
"m01285s"	"m01285"	"adp"	"C00008"	"HMDB01341"	"CHEBI:16761"	"6022"	""	""	"HC00018"	"adp"	"MNXM7"	"m01285s"
"m01286c"	"m01286"	"adpglc"	"C00498"	"HMDB06557"	"CHEBI:15751"	"16500"	""	""	""	"adpglc"	"MNXM561"	"m01286c"
"m01286s"	"m01286"	"adpglc"	"C00498"	"HMDB06557"	"CHEBI:15751"	"16500"	""	""	""	"adpglc"	"MNXM561"	"m01286s"
"m01287c"	"m01287"	"adpman"	"C06192"	"HMDB06369"	"CHEBI:28845"	"440940"	""	""	""	"adpman"	"MNXM166901"	"m01287c"
"m01287s"	"m01287"	"adpman"	"C06192"	"HMDB06369"	"CHEBI:28845"	"440940"	""	""	""	"adpman"	"MNXM166901"	"m01287s"
"m01288c"	"m01288"	"adprib"	"C00301"	""	"CHEBI:16960"	"445794"	""	""	""	"adprib"	"MNXM48596"	"m01288c"
"m01288s"	"m01288"	"adprib"	"C00301"	""	"CHEBI:16960"	"445794"	""	""	""	"adprib"	"MNXM48596"	"m01288s"
"m01289c"	"m01289"	"adprbp"	"C03246"	""	"CHEBI:37463"	"439957"	""	""	""	"adprbp"	"MNXM92094"	"m01289c"
"m01289s"	"m01289"	"adprbp"	"C03246"	""	"CHEBI:37463"	"439957"	""	""	""	"adprbp"	"MNXM92094"	"m01289s"
"m01290c"	"m01290"	"adrnl"	"C00788"	"HMDB00068"	"CHEBI:28918"	"5816"	""	""	""	"adrnl"	"MNXM162647;MNXM31772"	"m01290c"
"m01290s"	"m01290"	"adrnl"	"C00788"	"HMDB00068"	"CHEBI:28918"	"5816"	""	""	""	"adrnl"	"MNXM162647;MNXM31772"	"m01290s"
"m01291c"	"m01291"	"adrn"	"C16527"	"HMDB02226"	"CHEBI:53487"	"5497181"	"LMFA01030178"	""	""	"adrn"	"MNXM40344;MNXM5042"	"m01291c"
"m01291l"	"m01291"	"adrn"	"C16527"	"HMDB02226"	"CHEBI:53487"	"5497181"	"LMFA01030178"	""	""	"adrn"	"MNXM40344;MNXM5042"	"m01291l"
"m01291r"	"m01291"	"adrn"	"C16527"	"HMDB02226"	"CHEBI:53487"	"5497181"	"LMFA01030178"	""	""	"adrn"	"MNXM40344;MNXM5042"	"m01291r"
"m01291s"	"m01291"	"adrn"	"C16527"	"HMDB02226"	"CHEBI:53487"	"5497181"	"LMFA01030178"	""	""	"adrn"	"MNXM40344;MNXM5042"	"m01291s"
"m01292c"	"m01292"	""	""	""	""	"5898"	""	"CE5536"	""	"CE5536"	"MNXM40345"	"m01292c"
"m01293c"	"m01293"	""	""	""	""	"10313383"	""	"CE5541"	""	"CE5541"	"MNXM40347"	"m01293c"
"m01294c"	"m01294"	""	"C19589"	""	""	""	""	""	""	"M01294"	"MNXM40396"	"m01294c"
"m01295c"	"m01295"	""	"C19588"	""	""	""	""	""	""	"M01295"	"MNXM164503"	"m01295c"
"m01296c"	"m01296"	"aflatoxin"	"C06800"	""	"CHEBI:2504"	"186907"	""	""	""	"aflatoxin"	"MNXM40393"	"m01296c"
"m01296s"	"m01296"	"aflatoxin"	"C06800"	""	"CHEBI:2504"	"186907"	""	""	""	"aflatoxin"	"MNXM40393"	"m01296s"
"m01297c"	"m01297"	""	"C19595"	""	""	""	""	""	""	"M01297"	"MNXM15762"	"m01297c"
"m01298c"	"m01298"	"eaflatoxin"	"C19586"	""	""	"104756"	""	""	""	"eaflatoxin"	"MNXM10441;MNXM8257"	"m01298c"
"m01298s"	"m01298"	"eaflatoxin"	"C19586"	""	""	"104756"	""	""	""	"eaflatoxin"	"MNXM10441;MNXM8257"	"m01298s"
"m01299c"	"m01299"	""	"C11278"	""	"CHEBI:2505"	""	""	""	""	"M01299"	"MNXM3887;MNXM94371"	"m01299c"
"m01300c"	"m01300"	""	"C16756"	""	""	""	""	""	""	"M01300"	"MNXM10605"	"m01300c"
"m01301c"	"m01301"	""	"C19594"	""	""	""	""	""	""	"M01301"	"MNXM15768"	"m01301c"
"m01302c"	"m01302"	""	"C19585"	""	""	""	""	""	""	"M01302"	"MNXM15767"	"m01302c"
"m01303c"	"m01303"	"agm"	"C00179"	"HMDB01432"	"CHEBI:17431"	"199"	""	""	"HC00171"	"agm"	"MNXM328"	"m01303c"
"m01303m"	"m01303"	"agm"	"C00179"	"HMDB01432"	"CHEBI:17431"	"199"	""	""	"HC00171"	"agm"	"MNXM328"	"m01303m"
"m01303s"	"m01303"	"agm"	"C00179"	"HMDB01432"	"CHEBI:17431"	"199"	""	""	"HC00171"	"agm"	"MNXM328"	"m01303s"
"m01304c"	"m01304"	"aicar"	"C04677"	""	"CHEBI:18406"	"65110"	""	""	"HC01334"	"aicar"	"MNXM365"	"m01304c"
"m01305c"	"m01305"	"air"	"C03373"	""	"CHEBI:28843"	"161500"	""	""	"HC01108"	"air"	"MNXM162266;MNXM388"	"m01305c"
"m01306c"	"m01306"	"akg"	"C00026"	"HMDB00208"	"CHEBI:30915"	"51"	""	""	"HC00035"	"akg"	"MNXM20"	"m01306c"
"m01306m"	"m01306"	"akg"	"C00026"	"HMDB00208"	"CHEBI:30915"	"51"	""	""	"HC00035"	"akg"	"MNXM20"	"m01306m"
"m01306p"	"m01306"	"akg"	"C00026"	"HMDB00208"	"CHEBI:30915"	"51"	""	""	"HC00035"	"akg"	"MNXM20"	"m01306p"
"m01306s"	"m01306"	"akg"	"C00026"	"HMDB00208"	"CHEBI:30915"	"51"	""	""	"HC00035"	"akg"	"MNXM20"	"m01306s"
"m01307c"	"m01307"	"ala__L"	"C00041"	"HMDB00161"	"CHEBI:16977"	"5950"	""	""	"HC00048"	"ala_L"	"MNXM32"	"m01307c"
"m01307l"	"m01307"	"ala__L"	"C00041"	"HMDB00161"	"CHEBI:16977"	"5950"	""	""	"HC00048"	"ala_L"	"MNXM32"	"m01307l"
"m01307m"	"m01307"	"ala__L"	"C00041"	"HMDB00161"	"CHEBI:16977"	"5950"	""	""	"HC00048"	"ala_L"	"MNXM32"	"m01307m"
"m01307p"	"m01307"	"ala__L"	"C00041"	"HMDB00161"	"CHEBI:16977"	"5950"	""	""	"HC00048"	"ala_L"	"MNXM32"	"m01307p"
"m01307s"	"m01307"	"ala__L"	"C00041"	"HMDB00161"	"CHEBI:16977"	"5950"	""	""	"HC00048"	"ala_L"	"MNXM32"	"m01307s"
"m01308c"	"m01308"	""	""	""	""	""	"PROTEIN"	""	"HC00001"	"HC00001"	""	"m01308c"
"m01308l"	"m01308"	""	""	""	""	""	"PROTEIN"	""	"HC00001"	"HC00001"	""	"m01308l"
"m01308s"	"m01308"	""	""	""	""	""	"PROTEIN"	""	"HC00001"	"HC00001"	""	"m01308s"
"m01309c"	"m01309"	"aldstrn"	"C01780"	"HMDB00037"	"CHEBI:27584"	"24758425"	"LMST02030026"	""	""	"aldstrn"	"MNXM1465;MNXM163270"	"m01309c"
"m01309m"	"m01309"	"aldstrn"	"C01780"	"HMDB00037"	"CHEBI:27584"	"24758425"	"LMST02030026"	""	""	"aldstrn"	"MNXM1465;MNXM163270"	"m01309m"
"m01309s"	"m01309"	"aldstrn"	"C01780"	"HMDB00037"	"CHEBI:27584"	"24758425"	"LMST02030026"	""	""	"aldstrn"	"MNXM1465;MNXM163270"	"m01309s"
"m01310c"	"m01310"	""	"C01664"	""	""	""	""	""	""	"M01310"	"MNXM64000"	"m01310c"
"m01311c"	"m01311"	"akgp_hs"	"C03715"	""	"CHEBI:17197"	""	""	""	""	"akgp_hs"	"MNXM9595"	"m01311c"
"m01311p"	"m01311"	"akgp_hs"	"C03715"	""	"CHEBI:17197"	""	""	""	""	"akgp_hs"	"MNXM9595"	"m01311p"
"m01312c"	"m01312"	""	"C00499"	"HMDB01209"	"CHEBI:30837"	"203"	""	""	""	"alltt"	"MNXM584"	"m01312c"
"m01313c"	"m01313"	""	"C01551"	"HMDB00462"	"CHEBI:15676"	"204"	""	""	""	"alltn"	"MNXM612"	"m01313c"
"m01314c"	"m01314"	""	"C13712"	"HMDB01449"	"CHEBI:50169"	"92786"	"LMST02030130"	"CE2211"	""	"CE2211"	"MNXM3494"	"m01314c"
"m01315c"	"m01315"	""	"C07599"	"HMDB02818"	"CHEBI:730073"	"5781"	""	"CE0074"	""	"CE0074"	"MNXM15828"	"m01315c"
"m01315s"	"m01315"	""	"C07599"	"HMDB02818"	"CHEBI:730073"	"5781"	""	"CE0074"	""	"CE0074"	"MNXM15828"	"m01315s"
"m01316c"	"m01316"	"decdp"	""	""	""	""	""	""	""	"decdp"	"MNXM1721"	"m01316c"
"m01316m"	"m01316"	"decdp"	""	""	""	""	""	""	""	"decdp"	"MNXM1721"	"m01316m"
"m01317c"	"m01317"	""	"C01392"	""	""	""	""	""	""	"M01317"	"MNXM15963"	"m01317c"
"m01318c"	"m01318"	""	"C19592"	""	""	""	""	""	""	"M01318"	"MNXM10642"	"m01318c"
